slug,name,url,pages
monitor,모니터,https://prod.danawa.com/list/?cate=112757,
desktop,데스크탑,https://prod.danawa.com/list/?cate=112756,
keyboard,키보드,https://prod.danawa.com/list/?cate=112782,
laptop,노트북,https://prod.danawa.com/list/?cate=112758,
cpu,CPU,https://prod.danawa.com/list/?cate=112747,
gpu,그래픽카드,https://prod.danawa.com/list/?cate=112753,
motherboard,메인보드,https://prod.danawa.com/list/?cate=112751,
ram,RAM,https://prod.danawa.com/list/?cate=112752,
ssd,SSD,https://prod.danawa.com/list/?cate=11229608,
hdd,HDD,https://prod.danawa.com/list/?cate=11229614,
cooler,쿨러,https://prod.danawa.com/list/?cate=11236855,
case,케이스,https://prod.danawa.com/list/?cate=112775,
power,파워,https://prod.danawa.com/list/?cate=112777,
tv,TV,https://prod.danawa.com/list/?cate=10248425,
