product_code,product_name,2026-06-14,2026-06-13,2026-06-12,2026-06-11,2026-06-10,2026-06-09,2026-06-08,2026-06-07,2026-06-06,2026-06-05,2026-06-04,2026-06-03,2026-06-02,2026-06-01,2026-05-31,2026-05-30,2026-05-29,2026-05-28,2026-05-27,2026-05-26,2026-05-25,2026-05-24,2026-05-23,2026-05-22,2026-05-21,2026-05-20,2026-05-19,2026-05-18,2026-05-17,2026-05-16,2026-05-15,2026-05-14,2026-05-13,2026-05-12,2026-05-11,2026-05-10,2026-05-09,2026-05-08,2026-05-07,2026-05-06,2026-05-05,2026-05-04,2026-05-03,2026-05-02,2026-05-01,2026-04-30,2026-04-29,2026-04-28,2026-04-27,2026-04-26,2026-04-25,2026-04-24,2026-04-23,2026-04-22,2026-04-21,2026-04-20,2026-04-19,2026-04-18,2026-04-17,2026-04-16
122654001,1stPlayer AU8 빅포 ARGB (블랙),64590,64590,64600,64590,64590,64590,64590,64590,63900,64590,64600,64600,64600,64600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122654019,1stPlayer AU8 빅포 ARGB (화이트),68300,68300,68310,68300,68300,68300,68300,68300,67900,68300,68310,68310,68310,68310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99912947,1stPlayer GM7 ARGB BTF (블랙),77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99912962,1stPlayer GM7 ARGB BTF (실버),77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99912956,1stPlayer GM7 ARGB BTF (화이트),77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21548477,1stPlayer MV8 (블랙),74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21548498,1stPlayer MV8 (화이트),66766,66766,66766,66766,66766,66766,66766,72000,72000,72000,72000,72000,72000,72000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52152821,1stPlayer Mi5 (블랙),42500,42500,42500,42500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52153256,1stPlayer Mi5 (화이트),42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91187546,1stPlayer Mi5 WING (블랙),46590,46590,46600,46590,46590,46590,46590,46590,46590,46600,46600,46600,46600,46600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
