product_code,product_name,2026-07-22,2026-07-21,2026-07-20,2026-07-19,2026-07-18,2026-07-17,2026-07-16,2026-07-15,2026-07-14,2026-07-13,2026-07-12,2026-07-11,2026-07-10,2026-07-09,2026-07-08,2026-07-07,2026-07-06,2026-07-05,2026-07-04,2026-07-03,2026-07-02,2026-07-01,2026-06-30,2026-06-29,2026-06-28,2026-06-27,2026-06-26,2026-06-25,2026-06-24,2026-06-23,2026-06-22,2026-06-21,2026-06-20,2026-06-19,2026-06-18,2026-06-17,2026-06-16,2026-06-15,2026-06-14,2026-06-13,2026-06-12,2026-06-11,2026-06-10,2026-06-09,2026-06-08,2026-06-07,2026-06-06,2026-06-05,2026-06-04,2026-06-03,2026-06-02,2026-06-01,2026-05-31,2026-05-30,2026-05-29,2026-05-28,2026-05-27,2026-05-26,2026-05-25,2026-05-24
54101633,ADT Link UT3G (해외구매),103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,103280,89700,89700,89700,89700,89700,89700,89700,89700,89700,,,,,,,,
78306452,AFOX 라데온 RX 580 2048SP D5 8GB 디앤디컴,186510,186520,186520,185990,185990,186000,186000,186000,186000,186000,186000,186510,186510,186510,186510,186510,186520,186520,186520,186520,186510,186510,186520,186520,186510,186510,186510,186520,186520,186510,186520,186510,186510,186520,186520,186520,186510,186520,186050,186060,186070,186060,186070,186070,186070,186510,186520,186520,186520,186510,186510,186520,,,,,,,,
104752559,AFOX 라데온 RX 580 2048SP H3 D5 8GB 대원씨티에스,176590,176590,176600,176600,176600,176610,176610,176610,176640,176680,176680,176680,176680,176680,176680,176680,176690,176700,176720,176720,176730,176730,176780,176780,176780,176780,176780,176790,176790,176790,176790,176790,176890,176890,176890,176890,179400,179980,179980,179980,179990,179990,181780,181780,181780,181780,181790,181790,181790,181790,181790,181790,,,,,,,,
14077739,AFOX 지포스 G210 D3 512MB LP 디앤디컴,25980,26000,26000,25990,25990,26000,26000,26000,25980,25980,25980,25980,25980,25980,25980,25980,26000,25990,25990,26000,25980,26000,25980,26000,25980,25990,25990,25980,26000,25980,26000,25980,25980,26000,26000,26000,25980,26000,25990,25990,26000,25980,26000,26000,26000,25980,25990,25990,26000,25980,25980,26000,,,,,,,,
36709025,AFOX 지포스 G210 D3 512MB 대원씨티에스,23250,23250,23250,23250,23250,23250,23250,23250,23260,23260,23260,23260,23260,23330,23360,23360,23360,22290,22290,22290,22290,22290,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,23360,22980,22980,22980,22980,22980,22980,22980,22920,22920,22920,22920,22920,22920,,,,,,,,
28624916,AFOX 지포스 GT1030 L5 D5 2GB LP 디앤디컴,118530,122000,122880,122880,122880,122880,122880,118000,118530,118530,118530,118530,118530,118530,118530,118530,118540,118540,118540,118540,118530,118540,118530,118540,118530,118530,118530,118540,118540,118530,118540,118530,118530,118540,118540,118540,118530,118540,118530,118540,118540,118530,118540,118540,118540,118530,118540,118540,118540,118530,118530,118540,,,,,,,,
6288917,AFOX 지포스 GT710 L5 D3 1GB LP 디앤디컴,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,58990,59000,59000,59000,59000,58990,59000,58980,58990,59000,58980,59000,59000,59000,58990,58990,59000,59000,59000,59000,59000,,,,,,,,
57508691,AFOX 지포스 GT730 D3 2GB LP 무소음 대원씨티에스,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,64380,64380,73020,64380,64380,64380,64380,64380,64380,60500,64380,64380,64380,64380,64370,62440,62440,62440,62440,62440,62440,62440,62440,62440,62440,62440,62440,62440,62450,62450,62450,62450,62454,62890,62890,62890,62890,62890,62890,62890,,,,,,,,
14077574,AFOX 지포스 GT730 D3 2GB LP 무소음 디앤디컴,68530,69990,69990,68530,68530,68540,68960,68960,68530,68530,68530,68530,68530,68530,68530,68530,70000,68540,68540,70000,68530,70000,68530,70000,68530,68540,69990,68530,70000,68530,70000,68530,68530,70000,70000,70000,68530,70000,68530,68540,70000,68530,70000,70000,70000,68530,68540,70000,70000,70000,68530,70000,,,,,,,,
36709184,AFOX 지포스 GTX 1650 D6 4GB 대원씨티에스,288390,288390,288390,288390,288390,288390,288390,288390,288400,288400,288400,288390,288390,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290690,290700,290700,291220,291220,291220,291220,291220,291220,291220,291220,291230,291230,,,,,,,,
68241932,AFOX 지포스 GTX 1660 SUPER H7 D6 6GB DUAL 백플레이트 대원씨티에스,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,,,,,,,,
15722561,AFOX 지포스 GTX1050 Ti H7 D5 4GB,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,186500,279000,279000,186500,186500,279000,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,186500,,,,,,,,
