product_code,product_name,2026-08-29,2026-08-28,2026-08-27,2026-08-26,2026-08-25,2026-08-24,2026-08-23,2026-08-22,2026-08-21,2026-08-20,2026-08-19,2026-08-18,2026-08-17,2026-08-16,2026-08-15,2026-08-14,2026-08-13,2026-08-12,2026-08-11,2026-08-10,2026-08-09,2026-08-08,2026-08-07,2026-08-06,2026-08-05,2026-08-04,2026-08-03,2026-08-02,2026-08-01,2026-07-31,2026-07-30,2026-07-29,2026-07-28,2026-07-27,2026-07-26,2026-07-25,2026-07-24,2026-07-23,2026-07-22,2026-07-21,2026-07-20,2026-07-19,2026-07-18,2026-07-17,2026-07-16,2026-07-15,2026-07-14,2026-07-13,2026-07-12,2026-07-11,2026-07-10,2026-07-09,2026-07-08,2026-07-07,2026-07-06,2026-07-05,2026-07-04,2026-07-03,2026-07-02,2026-07-01
16329845,ASUS BR1100FKA-BP0984RA (eMMC 128GB),298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,298000,318219,298000,298000,298000,298000,318219,318219,318219,318219,318219,318219,318219,298000,298000,298000,298000,298000,298000,298000,318219,318219,318219,318219,318219,318219,298000,298000,,
108412046,ASUS ExpertBook B1 B1503CVA-S70733X 16GB램 (SSD 512GB),1089000,1089000,1089000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97310246,ASUS ExpertBook B3 B3605CCA-MB0348 WIN11 32GB램 (SSD 1TB),1641870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97564031,ASUS ExpertBook B3 B3605CCA-MB0348 WIN11 32GB램 (SSD 2TB),1759930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97310243,ASUS ExpertBook B3 B3605CCA-MB0348 WIN11 32GB램 (SSD 512GB),1465170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97568483,ASUS ExpertBook B3 B3605CCA-MB0349 (SSD 1TB),1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,1480000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97568492,ASUS ExpertBook B3 B3605CCA-MB0349 (SSD 2TB),1613220,1613280,1613420,1613460,1613570,1613580,1613690,1613810,1613820,1613940,1614040,1614150,1614270,1614390,1614510,1614620,1614750,1614760,1614770,1614880,1615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95989130,ASUS ExpertBook B3 B3605CCA-MB0349 (SSD 512GB),1295860,1298000,1298000,1298000,1298000,1298000,1298000,1298000,1266000,1266000,1266000,1266000,1266000,1266000,1266000,1266000,1266000,1266000,1266000,1266000,1266000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97568834,ASUS ExpertBook B3 B3605CCA-MB0349 WIN11 32GB램 (SSD 1TB),1811570,1811660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97568837,ASUS ExpertBook B3 B3605CCA-MB0349 WIN11 32GB램 (SSD 2TB),1912920,1913020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103598519,ASUS ExpertBook B3 B3605CCA-MB0349 WIN11 32GB램 (SSD 4TB),2450000,2450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97364780,ASUS ExpertBook B3 B3605CCA-MB0349 WIN11 32GB램 (SSD 512GB),1661700,1661710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67622471,ASUS ExpertBook B9 B9403CVAR-KM1200 (SSD 1TB),1684000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69468287,ASUS ExpertBook B9 B9403CVAR-KM1200 (SSD 2TB),2150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80151284,ASUS ExpertBook B9 B9403CVAR-KM1200 (SSD 4TB),2267000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65088563,ASUS ExpertBook B9 B9403CVAR-KM1200 (SSD 512GB),1377000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122721527,ASUS ExpertBook B9 Ultra B9406CAA-TH0762X (SSD 1TB),4986800,4919000,4919000,4919000,4919000,4919000,4919000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122721515,ASUS ExpertBook B9 Ultra B9406CAA-TH0857X (SSD 2TB),5868990,5869000,5869000,5869000,5869000,5868850,5868890,5868930,5868970,5869000,5960550,5960580,5960610,5960620,5960630,5960640,5960640,5960650,5960660,5960670,5960680,5960690,5960700,5927000,5927000,5927000,5927000,5927000,5927000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,5869000,,,,,,
77378054,ASUS ExpertBook P1 P1503CVA-S70532 WIN11 32GB램 (SSD 1TB),1481630,1481690,1481830,1481980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77378057,ASUS ExpertBook P1 P1503CVA-S70532 WIN11 32GB램 (SSD 2TB),1604640,1604730,1604870,1604910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79401746,ASUS ExpertBook P1 P1503CVA-S70532 WIN11 32GB램 (SSD 4TB),2416540,2416600,2160000,2160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
