product_code,product_name,2026-08-19,2026-08-18,2026-08-17,2026-08-16,2026-08-15,2026-08-14,2026-08-13,2026-08-12,2026-08-11,2026-08-10,2026-08-09,2026-08-08,2026-08-07,2026-08-06,2026-08-05,2026-08-04,2026-08-03,2026-08-02,2026-08-01,2026-07-31,2026-07-30,2026-07-29,2026-07-28,2026-07-27,2026-07-26,2026-07-25,2026-07-24,2026-07-23,2026-07-22,2026-07-21,2026-07-20,2026-07-19,2026-07-18,2026-07-17,2026-07-16,2026-07-15,2026-07-14,2026-07-13,2026-07-12,2026-07-11,2026-07-10,2026-07-09,2026-07-08,2026-07-07,2026-07-06,2026-07-05,2026-07-04,2026-07-03,2026-07-02,2026-07-01,2026-06-30,2026-06-29,2026-06-28,2026-06-27,2026-06-26,2026-06-25,2026-06-24,2026-06-23,2026-06-22,2026-06-21
41263007,6D SHARK S16 PLUS (해외구매),299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,299240,302350,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,296120,299240,299240,299240,299240,299240
11861725,AMH A329CUV REAL 144 (중고),152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000
4227975,AMH A329G 강화유리 (중고),117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000
7423192,AMH A329G 블랙 (중고),117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000
16972127,AMH A329GAM (중고),147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000,147000
5049699,AMH A399G 강화유리 (중고),207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000
99838133,AOC 16T20 IPS USB-C 포터블 스피커 시력보호 (해외구매),97890,97890,97890,97890,97890,97890,97890,97890,97890,97890,97890,97890,97890,97890,97890,97890,97890,97890,97890,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070,97890,90070,90070,90070,90070,90070,90070,90070,90070,90070,90070
104224469,AOC 27G4H 게이밍 200 FAST IPS AI HDR (해외구매),260200,260200,260200,260200,260200,260200,260200,260200,260200,260200,260200,260200,260200,260200,260200,260200,260200,260200,260200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104224412,AOC Q27G4ZD 게이밍 OLED 280 QHD 프리싱크 HDR 400 (해외구매),663680,665750,665750,665210,666040,666040,667830,667830,667880,667880,672680,672680,680200,680200,680200,680200,675660,640620,617520,627210,627210,627210,623130,623130,624300,624300,633450,633450,636220,636220,640760,636800,636800,643060,643060,643060,645370,645370,650960,650960,649990,649990,660110,660110,662740,662740,669030,669030,666620,666620,664210,664210,664210,664210,664210,664210,664210,664210,664210,664210
17568500,AONE AD240 FHD 프리싱크 HDR 무결점,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,114240,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,116620,119000,119000,119000,119000,119000
17568584,AONE AD270 FHD 프리싱크 HDR 무결점,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,162240,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,169000,169000,169000,169000,169000
106780706,APPLE 2026 Studio Display MFEW4KH/A,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2855730,2855730,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,2944050,2944050,2944050,2820090,2820090,2944050,2820090,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050,2944050
106780787,APPLE 2026 Studio Display MFEX4KH/A,2249100,2314070,2314070,2314070,2314070,2314070,2314070,2314070,2314070,2324070,2324070,2324070,2324060,2324070,2324070,2324070,2324060,2324060,2308490,2308490,2308500,2308500,2328450,2303940,2302820,2302820,2302820,2302820,2302820,2302820,2302820,2328450,2328450,2328450,2328450,2328450,2328450,2328450,2328450,2328450,2328450,2328450,2349000,2349000,2349000,2274090,2274090,2274090,2374050,2274090,2374050,2374050,2374050,2374050,2374050,2374050,2374050,2374050,2374050,2374050
106780799,APPLE 2026 Studio Display MFEY4KH/A,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2299080,2299080,2299080,2299080,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2499000,2299000,2299000,2299000,2299000,2299000,2299000,2299000,2299000,2299000,2299000
106780865,APPLE 2026 Studio Display MFF04KH/A,3419040,3419040,3419040,3419040,3419040,3419040,3419050,3419050,3419050,3419050,3419050,3419050,3419050,3311080,3311080,3311080,3598990,3598990,3598990,3599000,3599000,3599000,3598990,3598990,3598990,3598990,3599000,3599000,3599000,3598990,3598990,3598990,3598990,3598990,3598990,3598990,3598990,3598990,3598990,3598990,3598990,3599000,3599000,3599000,3599000,3599000,3599000,3599000,3599000,3599000,3399000,3399000,3399000,3399000,3399000,3399000,3399000,3399000,3399000,3399000
