product_code,product_name,2026-07-16,2026-07-15,2026-07-14,2026-07-13,2026-07-12,2026-07-11,2026-07-10,2026-07-09,2026-07-08,2026-07-07,2026-07-06,2026-07-05,2026-07-04,2026-07-03,2026-07-02,2026-07-01,2026-06-30,2026-06-29,2026-06-28,2026-06-27,2026-06-26,2026-06-25,2026-06-24,2026-06-23,2026-06-22,2026-06-21,2026-06-20,2026-06-19,2026-06-18,2026-06-17,2026-06-16,2026-06-15,2026-06-14,2026-06-13,2026-06-12,2026-06-11,2026-06-10,2026-06-09,2026-06-08,2026-06-07,2026-06-06,2026-06-05,2026-06-04,2026-06-03,2026-06-02,2026-06-01,2026-05-31,2026-05-30,2026-05-29,2026-05-28,2026-05-27,2026-05-26,2026-05-25,2026-05-24,2026-05-23,2026-05-22,2026-05-21,2026-05-20,2026-05-19,2026-05-18
13436012,3.2인치 TFT 터치 LCD For 라즈베리파이,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,25300,,,,,,,,,,,,,,
16275866,A320 (중고),42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,46050,46050,46050,46050,46050,46050,45070,45070,45100,45190,45220,45310,47440,47480,47500,,,,,,,,,,,,,,
13165257,A520 (중고),48990,48990,48990,48990,48990,48990,48990,48990,48990,48990,48990,48990,48990,48990,48990,48990,48990,48990,48990,48990,48990,49000,49000,49000,50150,50240,50270,50350,50390,50470,50570,50610,50630,50720,50750,50830,50870,50960,50990,51080,51110,51200,51320,51350,51390,51410,,,,,,,,,,,,,,
98184140,ADVANTECH ASMB-807-00A1,1112060,1112190,1112210,1117340,1117450,1117570,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080150,1080150,1080150,1080150,1080150,1080150,1080150,1080150,1080150,1080150,1080150,,,,,,,,,,,,,,
101073890,ADVANTECH ASMB-816-00A1,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1060990,1060990,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000,,,,,,,,,,,,,,
108401501,ADVANTECH ASMB-817I-00A1 아이보라,1139000,1143710,1143710,1143710,1143710,1143710,1138990,1138990,1138990,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1138990,1138990,1138990,1138990,,,,,,,,,,,,,,
103415894,ADVANTECH ASMB-818I-00A1,1265680,1265810,1265830,1272120,1272230,1272260,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224870,1224870,1224870,1224870,1224870,1224870,1224870,1224870,1224870,1224870,1224870,,,,,,,,,,,,,,
96366245,ADVANTECH ASMB-925-00A1,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1122530,1122530,1122530,1122530,1122530,1122530,1122530,1122530,1122530,1122530,1122530,,,,,,,,,,,,,,
99948020,ADVANTECH ASMB-927T2-00A1 아이보라,2097190,2097190,2097190,2097190,2097190,2097190,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590,,,,,,,,,,,,,,
10864752,ASRock A320M-HDVP 디앤디컴,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,,,,,,,,,,,,,,
