product_code,product_name,2026-06-24,2026-06-23,2026-06-22,2026-06-21,2026-06-20,2026-06-19,2026-06-18,2026-06-17,2026-06-16,2026-06-15,2026-06-14,2026-06-13,2026-06-12,2026-06-11,2026-06-10,2026-06-09,2026-06-08,2026-06-07,2026-06-06,2026-06-05,2026-06-04,2026-06-03,2026-06-02,2026-06-01,2026-05-31,2026-05-30,2026-05-29,2026-05-28,2026-05-27,2026-05-26,2026-05-25,2026-05-24,2026-05-23,2026-05-22,2026-05-21,2026-05-20,2026-05-19,2026-05-18,2026-05-17,2026-05-16,2026-05-15,2026-05-14,2026-05-13,2026-05-12,2026-05-11,2026-05-10,2026-05-09,2026-05-08,2026-05-07,2026-05-06,2026-05-05,2026-05-04,2026-05-03,2026-05-02,2026-05-01,2026-04-30,2026-04-29,2026-04-28,2026-04-27,2026-04-26
10363848,ACPI DDR3-1600 (8GB),24000,21990,24000,21990,24000,24000,21990,24000,21990,21990,21990,21990,21990,24000,21990,21990,21990,24000,21520,24000,24000,24000,24000,22140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17020214,ADATA DDR4-3200 CL22 중고 (16GB),167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,167000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94450319,ADATA DDR4-3200 CL22 파인인포 (16GB),187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,187950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100387547,ADATA DDR4-3200 CL22 파인인포 (32GB),414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,414960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94450340,ADATA DDR4-3200 CL22 파인인포 (8GB),101730,101750,101790,101830,101830,101850,101890,101910,101930,101970,101970,101970,101990,102010,102010,102010,102010,102010,102030,102070,102070,102090,102090,102100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15598841,ADATA DDR5-5200 CL38 LANCER 블랙 패키지 (32GB(16Gx2)),795650,791560,788480,785780,791180,791180,791180,791180,786540,786540,786540,786540,786540,786540,779080,779080,779080,779080,779070,779070,791180,789910,789950,790010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104374652,ADATA DDR5-5600 CL46 ARMAX 서린 (16GB),323160,323160,323160,323160,323160,323160,323160,323160,323160,323160,323160,323160,323160,323160,323160,323160,323160,323150,323160,323160,323160,323160,323160,323160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103415363,ADATA DDR5-5600 CL46 ARMAX 파인인포 (16GB),312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,312960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76071389,ADATA DDR5-5600 CL46 ECC/REG (32GB),1679990,1679990,1679990,1679990,1679990,1679990,1679990,1679990,1679990,1679990,1679990,1679990,1679990,1679990,1679990,1684270,1684290,1684310,1684350,1684390,1684410,1684430,1684430,1684450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122616740,ADATA DDR5-5600 CL46 ECC/REG 서린 (64GB),3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,3699940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105818030,ADATA DDR5-5600 CL46 ECC/REG 파인인포 (16GB),920690,920690,920690,920690,920690,920690,920690,920690,920690,920690,920690,920690,920700,920700,920700,938950,938950,938950,938950,938950,938950,938950,938950,938950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105818027,ADATA DDR5-5600 CL46 ECC/REG 파인인포 (32GB),1636790,1636790,1636790,1636790,1636790,1636790,1636790,1636790,1636790,1636790,1636790,1636790,1636800,1636800,1636800,1639950,1639950,1639950,1639950,1639950,1639950,1639950,1639950,1639950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105818036,ADATA DDR5-5600 CL46 ECC/REG 파인인포 (64GB),3554940,3554940,3554940,3554940,3554940,3554940,3554940,3554940,3554940,3554940,3554940,3554940,3554940,3554940,3554940,3554940,3554940,3554940,3554950,3554950,3554950,3554950,3554950,3554950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81036575,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 서린 (16GB),327990,328000,328000,327980,327980,328000,328000,328000,327980,323120,323120,323120,323120,323100,323120,323100,323120,323060,323080,323100,323120,323080,323100,323120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81036614,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 서린 (32GB),603970,603980,603980,606980,609990,610000,610000,609980,609980,600920,600950,600950,600950,600940,600950,600940,600950,600940,578080,576370,576380,576370,576370,576380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95202428,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 파인인포 (16GB),311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95205869,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 파인인포 (32GB),580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,552950,552950,552950,552950,552950,552950,552950,552950,552950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81036653,ADATA DDR5-5600 CL46 LANCER BLADE 화이트 서린 (16GB),327980,328000,328000,297450,297450,328000,328000,328000,327990,321020,321010,321010,321020,321020,321000,321020,321020,320980,321000,321020,321020,320980,321000,321020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81036776,ADATA DDR5-5600 CL46 LANCER BLADE 화이트 서린 (32GB),609970,609970,609950,609950,609970,609970,609990,609950,609970,582500,582500,582500,582500,582500,582500,582500,582500,582500,582500,550000,550000,550000,576350,576370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95202470,ADATA DDR5-5600 CL46 LANCER BLADE 화이트 파인인포 (16GB),311660,311660,311660,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,311650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95205893,ADATA DDR5-5600 CL46 LANCER BLADE 화이트 파인인포 (32GB),580000,580000,580000,580000,580000,582500,582500,582500,582500,610000,610000,610000,610000,610000,610000,580000,553700,553700,553700,553700,553700,553700,553700,553700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68918912,ADATA DDR5-5600 CL46-45-45 서린 (16GB),320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,315550,314760,314780,314740,314760,314780,314780,314740,314760,314780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68918885,ADATA DDR5-5600 CL46-45-45 서린 (32GB),621000,621000,620990,620980,620980,620990,620990,620990,620980,620990,620990,620990,620990,620980,614990,614980,614990,614980,614980,614990,614990,614980,614980,614990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29822102,ADATA DDR5-5600 CL46-45-45 코잇 (16GB),340000,340000,324150,324150,324150,324150,324150,324150,324150,324150,324150,324150,324150,324150,324150,324150,324150,324150,324150,324150,324150,324150,324150,324150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29822126,ADATA DDR5-5600 CL46-45-45 코잇 (32GB),619000,619000,619000,619000,619000,619000,619000,619000,619000,619000,619000,619000,619000,619000,619000,619000,619000,619000,635910,640132,640132,640132,640132,640132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79397219,ADATA DDR5-5600 CL46-45-45 파인인포 (16GB),305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,305340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79397198,ADATA DDR5-5600 CL46-45-45 파인인포 (32GB),582760,582760,582760,582760,582760,582760,582760,582390,582390,606610,606610,606610,606610,606610,606610,606610,582390,582390,582390,582390,582390,582390,582390,582390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104752595,ADATA DDR5-5600 CL46-45-45 파인인포 (64GB),1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,1359960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103516745,ADATA DDR5-5600 CL46-45-45 파인인포 (8GB),161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,161350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104374655,ADATA DDR5-6000 CL30 ARMAX RGB 패키지 서린 (32GB(16Gx2)),724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,724930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104374658,ADATA DDR5-6000 CL30 ARMAX RGB 패키지 서린 (64GB(32Gx2)),1566960,1566970,1566970,1566970,1566970,1569970,1569970,1569970,1569970,1569970,1569970,1569970,1569970,1569970,1569970,1569970,1559940,1559940,1559940,1559940,1559940,1559940,1559940,1559940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103415291,ADATA DDR5-6000 CL30 ARMAX RGB 패키지 파인인포 (32GB(16Gx2)),705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,705960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109483625,ADATA DDR5-6000 CL30 ARMAX 패키지 파인인포 (32GB(16Gx2)),705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,705950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68788067,ADATA DDR5-6000 CL30 LANCER BLADE RGB 블랙 패키지 서린 (32GB(16Gx2)),740420,740440,740440,740420,740420,740440,740440,740440,740440,740440,740420,740420,740440,740440,740420,740440,740440,740420,740440,740440,740440,740440,740420,740440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75938423,ADATA DDR5-6000 CL30 LANCER BLADE RGB 블랙 패키지 서린 (48GB(24Gx2)),1010430,1010430,1010430,1010430,1010430,1010430,1010430,1010430,1010430,1051310,1051330,1051330,1051360,1051370,1051410,1051410,1051410,1051390,1051410,1051530,1051990,1052450,1052920,1053120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68788052,ADATA DDR5-6000 CL30 LANCER BLADE RGB 블랙 패키지 서린 (64GB(32Gx2)),1552500,1552500,1552500,1319620,1319620,1552500,1552500,1552500,1552500,1552500,1552500,1552500,1552500,1552500,1552500,1552500,1552500,1552500,1552500,1552500,1552500,1552500,1510130,1510140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93179096,ADATA DDR5-6000 CL30 LANCER BLADE RGB 블랙 패키지 파인인포 (32GB(16Gx2)),711280,711280,711280,711280,711280,711280,711280,711280,711280,711240,711240,711240,711240,711240,711240,711240,711240,711240,711240,711240,711240,711240,711240,711240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93179111,ADATA DDR5-6000 CL30 LANCER BLADE RGB 블랙 패키지 파인인포 (48GB(24Gx2)),887340,887340,887340,887340,887340,887340,887340,887340,887340,887300,887300,887300,887300,887300,887300,887300,887300,887300,887300,887300,887300,887300,887300,887300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68788100,ADATA DDR5-6000 CL30 LANCER BLADE RGB 화이트 패키지 서린 (32GB(16Gx2)),748770,748790,748790,748770,748770,748790,748770,748790,748770,748790,748770,748770,748790,748790,748770,748790,748790,748750,748770,748790,748790,748750,748770,748790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75938444,ADATA DDR5-6000 CL30 LANCER BLADE RGB 화이트 패키지 서린 (48GB(24Gx2)),952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,952500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68788121,ADATA DDR5-6000 CL30 LANCER BLADE RGB 화이트 패키지 서린 (64GB(32Gx2)),1549990,1549970,1528410,1319620,1319620,1548430,1548450,1548470,1548490,1548510,1548530,1548550,1548590,1548610,1548630,1548650,1548670,1548690,1548730,1548750,1548770,1548790,1548810,1548830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27785618,ADATA DDR5-6000 CL30 LANCER BLADE RGB 화이트 패키지 코잇 (32GB(16Gx2)),747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,747500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93179012,ADATA DDR5-6000 CL30 LANCER BLADE RGB 화이트 패키지 파인인포 (32GB(16Gx2)),711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,711230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
