product_code,product_name,2026-06-05,2026-06-04,2026-06-03,2026-06-02,2026-06-01,2026-05-31,2026-05-30,2026-05-29,2026-05-28,2026-05-27,2026-05-26,2026-05-25,2026-05-24,2026-05-23,2026-05-22,2026-05-21,2026-05-20,2026-05-19,2026-05-18,2026-05-17,2026-05-16,2026-05-15,2026-05-14,2026-05-13,2026-05-12,2026-05-11,2026-05-10,2026-05-09,2026-05-08,2026-05-07,2026-05-06,2026-05-05,2026-05-04,2026-05-03,2026-05-02,2026-05-01,2026-04-30,2026-04-29,2026-04-28,2026-04-27,2026-04-26,2026-04-25,2026-04-24,2026-04-23,2026-04-22,2026-04-21,2026-04-20,2026-04-19,2026-04-18,2026-04-17,2026-04-16,2026-04-15,2026-04-14,2026-04-13,2026-04-12,2026-04-11,2026-04-10,2026-04-09,2026-04-08,2026-04-07
6917302,2.5 to 3.5 하드 변환가이드 (PS-G001),660,660,660,660,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14874521,ADATA FALCON M.2 NVMe 해외구매 (512GB),299000,299000,299000,299000,299000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81037007,ADATA IM2P32A8 M.2 NVMe 벌크 (256GB),299000,299000,299000,299000,299000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81037016,ADATA IM2P32A8 M.2 NVMe 벌크 (512GB),443290,443290,443290,443290,443290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92154218,ADATA IMSS316 mSATA 벌크 (256GB),299000,299000,299000,299000,299000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92154230,ADATA IMSS316 mSATA 벌크 (512GB),423000,423000,423000,423000,423000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47038079,ADATA ISSS316 (512GB),430000,430000,430000,430000,430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17287469,ADATA LEGEND 710 M.2 NVMe (1TB),288960,288960,288960,288960,288960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19649351,ADATA LEGEND 710 M.2 NVMe (256GB),108960,108960,108960,108960,108960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17287529,ADATA LEGEND 710 M.2 NVMe (512GB),145000,145000,145000,145000,145000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79395908,ADATA LEGEND 710 M.2 NVMe 파인인포 (1TB),288460,288480,288430,288500,288500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79396202,ADATA LEGEND 710 M.2 NVMe 파인인포 (256GB),107500,108930,108930,107500,108950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79396181,ADATA LEGEND 710 M.2 NVMe 파인인포 (512GB),160500,165500,165500,165500,160500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79250330,ADATA LEGEND 860 M.2 NVMe (1TB),317960,325460,321400,326400,328880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79401872,ADATA LEGEND 860 M.2 NVMe (2TB),557900,557900,557900,557900,557900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79250273,ADATA LEGEND 860 M.2 NVMe (500GB),171220,171200,171200,171200,171200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30008744,ADATA LEGEND 900 M.2 NVMe (1TB),325000,325000,325000,325000,325000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30008675,ADATA LEGEND 900 M.2 NVMe (2TB),645000,645000,645000,645000,645000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30008783,ADATA LEGEND 900 M.2 NVMe (512GB),184000,184000,184000,184000,184000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79402034,ADATA LEGEND 900 M.2 NVMe 파인인포 (1TB),323780,323780,323780,323780,323790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79402016,ADATA LEGEND 900 M.2 NVMe 파인인포 (2TB),550000,629000,629000,629000,629000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79402061,ADATA LEGEND 900 M.2 NVMe 파인인포 (512GB),181500,181500,181500,176500,179000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20146127,ADATA LEGEND 960 M.2 NVMe (1TB),359700,359700,359700,359700,359700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
