product_code,product_name,2026-07-13,2026-07-12,2026-07-11,2026-07-10,2026-07-09,2026-07-08,2026-07-07,2026-07-06,2026-07-05,2026-07-04,2026-07-03,2026-07-02,2026-07-01,2026-06-30,2026-06-29,2026-06-28,2026-06-27,2026-06-26,2026-06-25,2026-06-24,2026-06-23,2026-06-22,2026-06-21,2026-06-20,2026-06-19,2026-06-18,2026-06-17,2026-06-16,2026-06-15,2026-06-14,2026-06-13,2026-06-12,2026-06-11,2026-06-10,2026-06-09,2026-06-08,2026-06-07,2026-06-06,2026-06-05,2026-06-04,2026-06-03,2026-06-02,2026-06-01,2026-05-31,2026-05-30,2026-05-29,2026-05-28,2026-05-27,2026-05-26,2026-05-25,2026-05-24,2026-05-23,2026-05-22,2026-05-21,2026-05-20,2026-05-19,2026-05-18,2026-05-17,2026-05-16,2026-05-15
65911163,32인치 HD 스마트 TV (스탠드),195300,195300,195300,195300,195300,195300,195300,195300,195300,195790,195790,194250,194250,194250,194250,194250,194250,194250,194250,194250,194250,194250,194250,194250,194250,194250,194250,194250,194250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98483957,AVISION APEXF320HK (스탠드),125990,125990,125990,125990,125990,125990,125990,125990,125990,125990,125990,115710,115710,115720,115720,115730,115750,115770,115770,116420,116430,117110,117120,117120,117140,117820,117840,117840,117850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40715192,BD-75UHD (스탠드),745000,745000,745000,745000,745000,745000,745000,745000,745000,745000,745000,745000,745000,752400,752400,752400,752400,752400,752400,752400,752400,752400,745000,745000,745000,745000,599000,599000,599000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37478702,DA5500C (스탠드),462890,462890,462890,462890,462890,462890,462890,462890,462890,462890,462890,462890,462890,462890,462890,462890,462890,462890,467660,467660,467660,467660,467660,467660,467660,467660,467660,458120,458120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48940058,GTNB320HD11 (스탠드),199900,199900,199900,199900,199900,199900,199900,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199000,199900,199000,189000,189000,189000,189000,189000,189000,189000,189000,189000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99743774,HIKVISION D6055UN_IR (벽걸이),1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,1221000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99743771,HIKVISION D6055UN_IR (본체),1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,1161000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100697258,HKC 163인치 P0.9 COB LED 올인원 이동형 전광판 스크린 (이동형 스탠드),79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,79999990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99944372,HKC 32KIOSK (본체),539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,539000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101071877,HKC 32인치 고휘도 사이니지 (본체),1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,1149990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101071952,HKC 49인치 고휘도 사이니지 (본체),1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,1790000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72589754,HKC HKC750UHD (스탠드),699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69698114,KCZ40TF (스탠드),193450,193450,193450,193450,193450,193450,193450,193450,193450,193930,193930,192400,192400,192400,192400,192400,192400,192400,192400,192400,192400,192400,192400,192400,192400,192400,192400,192400,192400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39248546,LG전자 110UM5J (벽걸이),25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,25355000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16905671,LG전자 110UM5J (본체),17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,17000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43526906,LG전자 110UM5K (벽걸이),17814010,17814130,17814250,17814370,17814490,17814510,17814610,17814730,17814750,17814850,17814970,17815090,17815220,17815350,17815470,17815590,17815710,17815730,17815930,17816760,17817370,17818090,17818810,17819030,17670000,16624990,16624990,16621040,16621640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43526900,LG전자 110UM5K (본체),13991990,13991990,13991990,13991990,13991990,13991990,13991990,13991990,13991990,13991990,13994990,13994990,13994990,13994990,13994990,13994990,13994990,13994990,13994890,13994890,13994890,13994890,13994890,13994990,13994890,13995000,13995000,13995000,13995000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15979568,LG전자 24TK410D (스탠드),508280,508280,508280,508280,508280,508280,508280,508280,508280,508280,508280,508280,508280,508280,508280,508280,508280,508280,513520,513520,513520,513520,513520,513520,513520,513520,513520,508280,508280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17164559,LG전자 24TQ510SP (스탠드),538960,538990,538990,538990,538990,538990,538990,538970,538990,538990,538990,538990,538990,538990,515820,474000,474000,474000,474000,474000,474000,474000,474000,474000,474000,474000,474000,474000,474000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17164700,LG전자 24TQ510SW (스탠드),323000,323000,323000,332990,332990,332990,319680,319680,319680,319680,319680,319680,319680,319680,319680,319680,319680,319680,323000,323000,323000,323000,323000,323000,323000,333000,333000,332990,332990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17164424,LG전자 24TQ520SW (스탠드),550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,644100,644100,644100,644100,644100,644100,644100,644100,644100,644100,644100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17164088,LG전자 27TQ615SP (스탠드),682620,682620,682620,682620,682620,682620,682620,682620,682620,682620,682620,682620,682620,682620,682620,682620,682620,682620,688850,688850,688850,688850,688850,688850,688850,477900,477900,477900,477900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17164250,LG전자 27TQ625SW (스탠드),755990,755990,755990,755990,755990,755990,755990,755990,755990,755990,755990,755990,755990,755990,755990,755990,755990,755990,755890,755890,755890,755890,755890,755990,755890,755890,689990,689990,689990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15978974,LG전자 28TN525S (스탠드),433990,433990,433990,433990,433990,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,388680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122655961,LG전자 32LB650BCNA (벽걸이),317060,317050,317050,317050,317050,317050,317050,350580,350580,334457,317060,317060,317060,327180,327180,327180,327180,317050,317050,327180,327180,339090,332240,332240,332240,332240,332240,332240,332240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122655951,LG전자 32LB650BCNA (스탠드),317040,310000,310000,310000,310000,317030,314150,300000,300000,300000,300000,300000,312350,300000,300000,300000,300000,300000,300000,300000,300000,300000,314150,300000,300000,300000,300000,300000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122638487,LG전자 32LB650BENA (벽걸이),439990,439990,439990,439990,439990,439990,439990,439990,439990,439990,439990,421070,537480,539100,539100,539100,539100,539100,530000,530000,530000,530000,530000,530000,530000,530000,530000,530000,530000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122638159,LG전자 32LB650BENA (스탠드),310000,310000,310000,310000,310000,300000,300000,300000,300000,300000,300000,300000,311500,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122651666,LG전자 32LB650BKNA (벽걸이),444990,444990,444990,444990,444990,444990,444990,444990,444990,444990,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122651664,LG전자 32LB650BKNA (스탠드),332690,332810,332930,338740,339500,339580,339770,339770,330650,330650,330650,330650,328950,344920,350070,350070,350070,350070,350070,350070,350070,350070,350070,350070,347980,351063,351063,351063,351050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3772346,LG전자 32LH560B (스탠드),360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3797404,LG전자 32LH561B (스탠드),363750,363750,363750,363750,363750,363750,363750,363750,363750,363750,363750,363750,363750,363750,363750,363750,363750,363750,367500,367500,367500,367500,367500,367500,367500,367500,367500,360000,360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6208639,LG전자 32LK562BENA (스탠드),390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8223721,LG전자 32LM560BENA (벽걸이),389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389890,389890,389890,389890,389890,389990,389890,389890,389890,389890,389890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8223490,LG전자 32LM560BENA (스탠드),300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8328855,LG전자 32LM560BGNA (벽걸이),413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8328729,LG전자 32LM560BGNA (스탠드),310400,310400,310400,310400,310400,310400,310400,310400,310400,310400,310400,310400,310400,310400,310400,310400,310400,310400,313600,313600,313600,313600,313600,313600,313600,313600,313600,307200,307200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9321744,LG전자 32LM561CBNA (벽걸이),455900,455900,455900,455900,455900,455900,455900,455900,437100,437100,437100,437100,437100,455900,455900,455900,455900,455900,446500,446500,446500,446500,446500,446500,446500,446500,446500,446500,446500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9241959,LG전자 32LM561CBNA (스탠드),317190,317190,317190,317190,317190,317190,317190,317190,304110,304110,304110,304110,304110,317190,317190,317190,317190,317190,310650,310650,310650,310650,310650,310650,310650,310650,310650,310650,310650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11111418,LG전자 32LM580BEND (벽걸이),379950,379960,379960,379970,379970,379980,379980,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379890,379890,379890,379890,379890,379990,379890,379890,379890,379890,379890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11088819,LG전자 32LM580BEND (스탠드),290000,290000,290000,290000,290000,290000,281300,281300,281300,281300,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13287737,LG전자 32LM581CBND (벽걸이),399950,399960,399960,399970,399970,399980,399980,399990,399990,399990,399990,399990,399990,399990,399990,399990,392360,392360,392260,392260,392260,392370,392260,392360,392260,399890,399890,399890,399890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13287722,LG전자 32LM581CBND (스탠드),325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10898586,LG전자 32LM630BENA (스탠드),833000,833000,833000,833000,833000,833000,833000,833000,833000,833000,833000,833000,833000,833000,833000,833000,833000,833000,807500,807500,807500,807500,807500,807500,807500,807500,807500,807500,807500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31681025,LG전자 32LQ635BCNA (벽걸이),366990,366990,366990,366990,366990,366990,367000,366990,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,367000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31680956,LG전자 32LQ635BCNA (스탠드),319850,319850,319850,319850,319850,319850,310400,310400,310400,310400,319850,306840,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36198809,LG전자 32LQ635BENA (벽걸이),360000,360000,360000,360000,360000,360000,360000,360000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31430168,LG전자 32LQ635BENA (스탠드),299550,299550,299550,299550,299550,299550,299550,303610,308370,308370,308450,312730,312750,313220,313240,313340,313360,313460,313490,313490,313490,313490,313490,313490,313490,313490,313490,310190,310190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57290420,LG전자 32LQ635BGNA (벽걸이),365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57290399,LG전자 32LQ635BGNA (스탠드),320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16550072,LG전자 32LQ635BKNA (벽걸이),359990,359990,359990,359990,359990,359990,359990,359990,369000,369000,369000,369000,369000,369000,369000,369000,369000,369000,369000,369000,369000,369000,369000,389390,389290,389290,389290,389290,389290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16550060,LG전자 32LQ635BKNA (스탠드),314000,314000,314000,314000,319000,314000,314000,314000,316940,316940,316940,316940,316940,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104963843,LG전자 32LR600 (방문수령),310400,309000,309000,309000,309000,310400,310400,310400,310400,310400,310400,310400,310400,316800,316800,309000,309000,309000,309000,309000,309000,316800,310400,310400,310400,310400,310400,310390,310400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
