product_code,product_name,2026-09-02,2026-09-01,2026-08-31,2026-08-30,2026-08-29,2026-08-28,2026-08-27,2026-08-26
54101633,ADT Link UT3G (해외구매),104700,104700,,103280,103280,103280,103280,103280
78306452,AFOX 라데온 RX 580 2048SP D5 8GB 디앤디컴,186060,186060,,186060,186060,186060,186060,186060
104752559,AFOX 라데온 RX 580 2048SP H3 D5 8GB 대원씨티에스,178590,178590,,178590,178590,178590,178590,178590
14077739,AFOX 지포스 G210 D3 512MB LP 디앤디컴,25990,25990,,25990,25990,25990,25990,25990
36709025,AFOX 지포스 G210 D3 512MB 대원씨티에스,225000,225000,,225000,225000,225000,225000,225000
28624916,AFOX 지포스 GT1030 L5 D5 2GB LP 디앤디컴,119380,119380,,91160,95570,119460,119460,119460
6288917,AFOX 지포스 GT710 L5 D3 1GB LP 디앤디컴,58980,58980,,47140,47180,58980,58980,58980
14077574,AFOX 지포스 GT730 D3 2GB LP 무소음 디앤디컴,67490,67490,,67490,67490,67490,67500,69990
36709184,AFOX 지포스 GTX 1650 D6 4GB 대원씨티에스,290520,290520,,290540,290540,290560,290600,290640
68241932,AFOX 지포스 GTX 1660 SUPER H7 D6 6GB DUAL 백플레이트 대원씨티에스,299000,299000,,299000,299000,350000,350000,350000
101077676,AFOX 지포스 GTX1050 Ti H7 D5 4GB 대원씨티에스,184270,184270,,184270,184270,184270,184270,184270
62160119,AFOX 지포스 GTX1050 Ti H7 D5 4GB 디앤디컴,183990,183990,,183990,183990,183990,183990,183990
21540362,AFOX 지포스 RTX 3070 D6 8GB 대원씨티에스,651290,651290,,651290,651290,651290,651290,651290
54103622,AKiTiO 노드 타이탄 eGPU BOX (해외구매),733200,733200,,725400,725400,725400,725400,725400
15360209,AMD 라데온 PRO W5500 D6 8GB 대원씨티에스,379060,379060,,379060,379060,379060,379060,379060
26036747,AMD 라데온 PRO W7500 D6 8GB,788160,788650,,788650,788650,788650,788650,720150
26035931,AMD 라데온 PRO W7600 D6 8GB,1125990,1125990,,1125990,1125990,1125990,1125990,1125990
5492030,AMD 라데온 PRO WX2100 D5 2GB LP,236010,236100,,236210,236240,236290,236360,236460
14296337,AMD 라데온 PRO WX3200 D5 4GB LP 대원씨티에스,197600,197600,,197600,197600,197600,197600,197600
79400453,AOOSTAR XG76XT 라데온 RX 7600 XT D6 8GB (해외구매),789900,789900,,799900,799900,799900,799900,799900
10427364,ARKTEK 지포스 GTX 1660 SUPER D6 6GB,282740,282740,,282740,282740,282740,282610,282650
71010194,ASL 지포스 GTX 1660 SUPER RAGE-X D6 6GB,271570,271570,,271570,271570,271570,271570,271570
73696607,ASRock Arc B580 CHALLENGER OC D6 12GB,526380,526380,,566000,566000,566000,566000,566000
17420300,ASRock 라데온 RX 6600 CHALLENGER D D6 8GB 대원씨티에스,449900,449900,,429900,429900,429900,429900,429900
27546905,ASRock 라데온 RX 7600 CHALLENGER OC D6 8GB 대원씨티에스,498000,498000,,497990,497990,497990,497990,493800
97410422,ASRock 라데온 RX 9060 CHALLENGER D6 8GB 대원씨티에스,588780,588780,,470990,588780,588780,588780,583980
91909763,ASRock 라데온 RX 9060 XT CHALLENGER OC D6 16GB 대원씨티에스,785000,798000,,608870,638390,828390,828390,702720
91909781,ASRock 라데온 RX 9060 XT 스틸레전드 OC D6 16GB 대원씨티에스,853190,853190,,650990,853190,853190,878620,878620
91909775,ASRock 라데온 RX 9060 XT 스틸레전드 OC D6 8GB 대원씨티에스,630000,630000,,630000,630000,630000,630000,630000
99711887,ASRock 라데온 RX 9070 XT CHALLENGER D6 16GB 대원씨티에스,1461990,1461990,,1125420,1445000,1475000,1475000,1475000
