product_code,product_name,2026-07-11,2026-07-10,2026-07-09,2026-07-08,2026-07-07,2026-07-06,2026-07-05,2026-07-04
2324371,"HGST Deskstar 7K1000.C SATA2/7200/16M/리퍼비시 (500GB, HDS721050CLA362)",41000,41000,41000,41000,41000,41000,41000,41000
3328405,"HGST Deskstar 7K3000 7200/64M/해외구매 (2TB, HDS723020BLA642)",190560,190560,190560,190560,190560,247000,247000,247000
3351961,"HGST Travelstar 5K750 SATA2/5400/8M/해외구매 (640GB, HTS547564A9E384)",46000,46000,46000,46000,46000,46000,46000,46000
3354216,"HGST Travelstar 7K1000 7200/32M/해외구매 (1TB, HTS721010A9E630)",98000,99000,99000,99000,99000,100000,100000,100000
1943077,"HGST Travelstar Z7K500 7200/32M/노트북용 (500GB, HTS725050A7E630)",67010,67010,64230,64230,64230,64230,64230,64230
3106788,"HGST Ultrastar 7K4000 7200/64M/해외구매 (2TB, HUS724020ALA640)",228480,228480,228480,228480,228480,228480,228480,228480
6527903,"HGST Ultrastar 7K6 SAS/7200/256M (4TB, HUS726T4TAL5204)",479000,479000,479000,479000,479000,479000,479000,479000
6579048,"HGST Ultrastar He8 7200/128M/해외구매 (8TB, HUH728080ALE600)",727000,747000,697000,717000,737000,687000,707000,727000
13233350,HP Proliant SAS/10000/해외구매 (300GB 653955-001),46800,46800,46800,46800,46800,46800,46800,46800
7309063,"HP 엔터프라이즈 SAS/10K (600GB, 781516-B21)",489600,489600,489600,489600,489600,489600,489600,489600
3940879,MARSHAL 2TB MAL22000SA-T54H2 (SATA/5400/8M/노트북용/리퍼비시),145000,145000,145000,145000,145000,145000,145000,145000
20704208,"MARSHAL FFF 7200/256M/리퍼비시 (14TB, MAL314000SA)",525000,528000,525000,525000,528000,525000,528000,525000
4097416,MARSHAL MAL21000SA-T54 SATA/5400/8M/노트북용/리퍼비시 (1TB),73000,73000,73000,73000,73000,73000,73000,73000
3940941,MARSHAL MAL31000SA-T72 SATA/7200/32M/리퍼비시 (1TB),59990,59990,59990,59990,59990,60060,60060,60060
