product_code,product_name,2026-07-02,2026-07-01,2026-06-30,2026-06-29,2026-06-28,2026-06-27,2026-06-26,2026-06-25
122696771,ASUS ExpertBook B1 B1503CVA-S71260 (SSD 1TB),997490,997490,989000,979560,979570,979570,979580,979580
122696774,ASUS ExpertBook B1 B1503CVA-S71260 (SSD 2TB),1139990,1139990,1120000,1120000,1120000,1120000,1120000,1120000
122696775,ASUS ExpertBook B1 B1503CVA-S71260 (SSD 4TB),1719490,1719000,1702000,1702000,1702000,1702000,1702000,1702000
105966716,ASUS ExpertBook B1 B1503CVA-S71260 (SSD 512GB),719000,669000,669000,655610,655620,655620,655630,655640
19489436,ASUS ExpertBook B5 B5602CBN-MB0106 (SSD 512GB),703140,703140,691880,691880,691880,691880,691880,699000
79401635,ASUS ExpertBook P1 P1503CVA-S70532 (SSD 1TB),877010,829410,877020,836540,837040,,,
79401638,ASUS ExpertBook P1 P1503CVA-S70532 (SSD 2TB),1023000,1013700,1023000,1023000,1023000,,,
79401641,ASUS ExpertBook P1 P1503CVA-S70532 (SSD 3TB),1519000,1519000,1519000,1519000,1519000,,,
79401644,ASUS ExpertBook P1 P1503CVA-S70532 (SSD 4TB),1303000,1303000,1303000,1303000,1303000,,,
75855473,ASUS ExpertBook P1 P1503CVA-S70532 (SSD 512GB),719000,719000,719000,719000,719000,,,
77378045,ASUS ExpertBook P1 P1503CVA-S70532 WIN11 16GB램 (SSD 1TB),1022980,954400,1023680,1023780,1023850,1023920,,
77378048,ASUS ExpertBook P1 P1503CVA-S70532 WIN11 16GB램 (SSD 2TB),1224820,1163310,1208990,1208990,1208990,1186800,,
79401734,ASUS ExpertBook P1 P1503CVA-S70532 WIN11 16GB램 (SSD 3TB),1550000,1550000,1550000,1550000,1550000,1550000,,
79401737,ASUS ExpertBook P1 P1503CVA-S70532 WIN11 16GB램 (SSD 4TB),1996000,1952070,1994040,1994040,1994040,1994040,,
77378042,ASUS ExpertBook P1 P1503CVA-S70532 WIN11 16GB램 (SSD 512GB),863550,815990,858290,883720,872600,872610,,
103516550,ASUS ExpertBook P1 P1503CVA-S72002 (SSD 1TB),888290,832350,850240,850220,850230,850230,850240,850240
103516556,ASUS ExpertBook P1 P1503CVA-S72002 (SSD 2TB),933120,933120,929380,929390,929390,929400,929400,929410
102490352,ASUS ExpertBook P1 P1503CVA-S72002 (SSD 512GB),749000,749000,749000,749000,749000,749000,749000,670000
96580436,ASUS ExpertBook P1 PM1503CDA-S70068 WIN11 32GB램 (SSD 1TB),1379000,1379000,1379000,1379000,1379000,1379000,,
96580439,ASUS ExpertBook P1 PM1503CDA-S70068 WIN11 32GB램 (SSD 2TB),1579000,1579000,1579000,1579000,1579000,1579000,,
103517114,ASUS ExpertBook P1 PM1503CDA-S70068 WIN11 32GB램 (SSD 3TB),2012000,2012000,2012000,2012000,2012000,2012000,,
98759861,ASUS ExpertBook P1 PM1503CDA-S70068 WIN11 32GB램 (SSD 4TB),1800000,1800000,1800000,1800000,1800000,1800000,,
96580433,ASUS ExpertBook P1 PM1503CDA-S70068 WIN11 32GB램 (SSD 512GB),1128990,1128990,1128990,1128990,1128990,1128990,,
96425288,ASUS ExpertBook P1 PM1503CDA-S70069 (SSD 1TB),759000,759000,759000,759000,759000,759000,759000,759000
96425306,ASUS ExpertBook P1 PM1503CDA-S70069 (SSD 2TB),909000,909000,909000,909000,909000,909000,909000,909000
104555105,ASUS ExpertBook P1 PM1503CDA-S70069 (SSD 3TB),1417000,1417000,1417000,1417000,1417000,1417000,1417000,1417000
104555108,ASUS ExpertBook P1 PM1503CDA-S70069 (SSD 4TB),1467000,1467000,1467000,1467000,1467000,1467000,1467000,1467000
96422786,ASUS ExpertBook P1 PM1503CDA-S70069 (SSD 512GB),628000,628000,628000,628000,628000,628000,628000,628000
96425405,ASUS ExpertBook P1 PM1503CDA-S70069 WIN11 (SSD 1TB),795000,795000,,,,,,
96425411,ASUS ExpertBook P1 PM1503CDA-S70069 WIN11 (SSD 2TB),953990,953990,,,,,,
104555060,ASUS ExpertBook P1 PM1503CDA-S70069 WIN11 (SSD 3TB),1490000,1490000,,,,,,
97470209,ASUS ExpertBook P1 PM1503CDA-S70069 WIN11 (SSD 4TB),1497000,1497000,,,,,,
96425399,ASUS ExpertBook P1 PM1503CDA-S70069 WIN11 (SSD 512GB),650040,650040,,,,,,
104750723,ASUS ExpertBook P1 PM1503CDA-S70237 (SSD 1TB),928000,928000,928000,928000,928000,928000,928000,928000
104750735,ASUS ExpertBook P1 PM1503CDA-S70237 (SSD 2TB),1189000,1189000,1189000,1189000,1189000,1189000,1189000,1189000
104750690,ASUS ExpertBook P1 PM1503CDA-S70237 (SSD 512GB),748990,748990,748990,748990,748990,748990,748990,748990
104751416,ASUS ExpertBook P1 PM1503CDA-S70324 (SSD 1TB),797210,797210,797210,797220,797220,797220,798000,798000
104751428,ASUS ExpertBook P1 PM1503CDA-S70324 (SSD 2TB),899000,899000,899000,899000,899000,899000,899000,899000
122691090,ASUS ExpertBook P1 PM1503CDA-S70324 (SSD 4TB),2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
104751389,ASUS ExpertBook P1 PM1503CDA-S70324 (SSD 512GB),649000,649000,649000,649000,649000,649000,609000,609000
122672459,ASUS ExpertBook P1 PM1503CDA-S70423 (SSD 512GB),836060,836070,854040,854040,854040,854040,836060,836060
100450310,ASUS ExpertBook P3 PM3606CKA-MB0223 (SSD 1TB),1161910,1160450,1161930,1161930,1161940,1161940,1161950,1161950
100450328,ASUS ExpertBook P3 PM3606CKA-MB0223 (SSD 2TB),1278310,1265610,1278330,1278330,1278340,1278340,1278350,1278350
122696259,ASUS ExpertBook P3 PM3606CKA-MB0223 (SSD 4TB),1919260,1919370,1919480,1919600,1919720,1919840,1919960,1919990
99945098,ASUS ExpertBook P3 PM3606CKA-MB0223 (SSD 512GB),979000,979000,979000,979000,979000,979000,979000,979000
98074154,ASUS ExpertBook P3 PM3606CKA-MB0224 (SSD 1TB),2095000,2095000,2095000,2095000,,,,
97476500,ASUS ExpertBook P3 PM3606CKA-MB0224 (SSD 2TB),2821540,2821540,2821540,2821540,,,,
96983420,ASUS ExpertBook P3 PM3606CKA-MB0224 (SSD 512GB),1449000,1449000,1449000,1449000,,,,
106756853,ASUS ExpertBook P3 PM3606CKA-MB0469 (SSD 1TB),1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000
122654162,ASUS ExpertBook P3 PM3606CKA-MB0469 (SSD 2TB),2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000
109681802,ASUS ExpertBook P3 PM3606CKA-MB0469 (SSD 4TB),3318000,3318000,3318000,3318000,3318000,3318000,3318000,3318000
72821342,ASUS ExpertBook P5 P5405CSA-NZ0063X (SSD 1TB),1888820,1888830,,,,,,
72821357,ASUS ExpertBook P5 P5405CSA-NZ0063X (SSD 2TB),1785000,1785000,,,,,,
