product_code,product_name,2026-09-09,2026-09-08,2026-09-07,2026-09-06,2026-09-05,2026-09-04,2026-09-03,2026-09-02
41263007,6D SHARK S16 PLUS (해외구매),296120,,296120,,296120,296120,296120,296120
11861725,AMH A329CUV REAL 144 (중고),152000,,152000,,152000,152000,152000,152000
4227975,AMH A329G 강화유리 (중고),117000,,117000,,117000,117000,117000,117000
7423192,AMH A329G 블랙 (중고),117000,,117000,,117000,117000,117000,117000
16972127,AMH A329GAM (중고),147000,,147000,,147000,147000,147000,147000
5049699,AMH A399G 강화유리 (중고),207000,,207000,,207000,207000,207000,207000
99838133,AOC 16T20 IPS USB-C 포터블 스피커 시력보호 (해외구매),97890,,97890,,97890,97890,97890,97890
104224469,AOC 27G4H 게이밍 200 FAST IPS AI HDR (해외구매),260200,,260200,,260200,260200,260200,260200
104224412,AOC Q27G4ZD 게이밍 OLED 280 QHD 프리싱크 HDR 400 (해외구매),652630,,644930,,640680,640680,641940,641230
17568500,AONE AD240 FHD 프리싱크 HDR 무결점,113050,,113050,,113050,113050,113050,113050
17568584,AONE AD270 FHD 프리싱크 HDR 무결점,160550,,160550,,160550,160550,160550,160550
106780706,APPLE 2026 Studio Display MFEW4KH/A,2944050,,2944050,,2944050,2944050,3020000,2944050
106780787,APPLE 2026 Studio Display MFEX4KH/A,2199120,,2199120,,2199120,2199120,2199120,2199120
106780799,APPLE 2026 Studio Display MFEY4KH/A,2499000,,2499000,,2499000,2499000,2499000,2499000
106780865,APPLE 2026 Studio Display MFF04KH/A,3598990,,3419040,,3419040,3419040,3419040,3419040
106780892,APPLE 2026 Studio Display MFF14KH/A,2840500,,2399200,,2689000,2700000,2700000,2700000
106780910,APPLE 2026 Studio Display MFF24KH/A,2999000,,2999000,,2999000,2999000,2999000,2999000
106780997,APPLE 2026 Studio Display XDR MFEL4KH/A,5199000,,5199000,,5199000,5199000,5199000,5199000
108364295,APPLE 2026 Studio Display XDR MFEN4KH/A,4599000,,4599000,,4599000,4599000,4599000,4599000
