product_code,product_name,2026-06-21,2026-06-20,2026-06-19,2026-06-18,2026-06-17,2026-06-16,2026-06-15,2026-06-14
13436012,3.2인치 TFT 터치 LCD For 라즈베리파이,25300,25300,25300,25300,25300,25300,25300,25300
16275866,A320 (중고),42000,42000,42000,42000,42000,42000,46050,46050
13165257,A520 (중고),50240,50270,50350,50390,50470,50570,50610,50630
98184140,ADVANTECH ASMB-807-00A1,1080160,1080160,1080160,1080160,1080160,1080160,1080160,1080160
101073890,ADVANTECH ASMB-816-00A1,1061000,1061000,1061000,1061000,1061000,1061000,1061000,1061000
108401501,ADVANTECH ASMB-817I-00A1 아이보라,1540000,1540000,1540000,1540000,1540000,1540000,1540000,1540000
103415894,ADVANTECH ASMB-818I-00A1,1224880,1224880,1224880,1224880,1224880,1224880,1224880,1224880
104989574,ADVANTECH ASMB-831T2-00A1 아이보라,1683780,1683780,1683780,1683780,1683780,1683780,1683780,1683780
96366245,ADVANTECH ASMB-925-00A1,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000
99948020,ADVANTECH ASMB-927T2-00A1 아이보라,2077590,2077590,2077590,2077590,2077590,2077590,2077590,2077590
10864752,ASRock A320M-HDVP 디앤디컴,150000,150000,150000,150000,150000,150000,150000,150000
18403331,ASRock A520M-HDV 대원씨티에스,69000,69000,69000,69000,69000,69000,69000,69000
12092663,ASRock A520M-HDV 디앤디컴,68890,68890,68900,68900,68900,68990,68990,67080
12660353,ASRock A520M-HDV 디앤디컴 (벌크),67060,67130,67140,67140,67140,67170,67190,66062
12130286,ASRock A520M-HDV 에즈윈,65420,65420,65420,65420,65420,65420,65420,65208
25213067,ASRock A520M-HDV 에즈윈 (벌크),65120,65120,65120,65120,65120,65120,65120,65120
32110508,ASRock A520M-HDVP R2.0 에즈윈 (벌크),84000,84000,84000,84000,84000,84000,84000,84000
77706989,ASRock A520M-HVS 대원씨티에스,57460,57460,57460,57450,57460,57550,57958,52580
12121013,ASRock A520M-ITX/ac 디앤디컴,199650,199650,199660,199660,199670,199670,178990,178990
97565858,ASRock A620AI WiFi 대원씨티에스,227380,227380,227390,227380,227390,227390,227390,227380
94081679,ASRock A620AM-HVS + WiFi6E 랜카드 패키지 디앤디컴,130500,130500,130500,130500,130500,130500,130500,130500
92108180,ASRock A620AM-HVS 대원씨티에스,98600,98600,98600,98560,98600,98600,98600,96090
92149667,ASRock A620AM-HVS 디앤디컴,93100,93100,94970,94970,94970,94990,90400,89804
92360591,ASRock A620AM-HVS 에즈윈,90740,90740,90750,90740,90750,90750,90750,88528
