product_code,product_name,2026-08-18,2026-08-17,2026-08-16,2026-08-15,2026-08-14,2026-08-13,2026-08-12,2026-08-11
10363848,ACPI DDR3-1600 (8GB),20990,20990,20990,20990,23000,23000,20990,23000
17020214,ADATA DDR4-3200 CL22 중고 (16GB),159000,159000,159000,159000,159000,159000,159000,159000
94450319,ADATA DDR4-3200 CL22 파인인포 (16GB),189070,189070,189070,189070,189070,189070,189070,189070
100387547,ADATA DDR4-3200 CL22 파인인포 (32GB),414960,414960,414960,414960,414960,414960,414960,414960
94450340,ADATA DDR4-3200 CL22 파인인포 (8GB),90600,90590,90690,91190,91300,91400,91500,91600
15598841,ADATA DDR5-5200 CL38 LANCER 블랙 패키지 (32GB(16Gx2)),795650,795650,795650,795650,791560,788860,791560,779080
104374652,ADATA DDR5-5600 CL46 ARMAX 서린 (16GB),335200,335200,335200,335200,335200,335200,335200,335200
103415363,ADATA DDR5-5600 CL46 ARMAX 파인인포 (16GB),339090,339090,339090,339090,331250,331250,331250,331250
76071389,ADATA DDR5-5600 CL46 ECC/REG (32GB),2149560,2149550,2149550,2149550,2149560,2149560,2149560,2149560
122616740,ADATA DDR5-5600 CL46 ECC/REG 서린 (64GB),4091970,4091970,4091970,4091980,4091980,4091970,4091980,4091970
105818030,ADATA DDR5-5600 CL46 ECC/REG 파인인포 (16GB),1007990,1007990,1007990,1007990,1007990,1007990,1007990,1007990
105818027,ADATA DDR5-5600 CL46 ECC/REG 파인인포 (32GB),2128800,2128800,2128800,2128800,2128800,2128800,2128800,2128800
105818036,ADATA DDR5-5600 CL46 ECC/REG 파인인포 (64GB),4043260,4043260,4043260,4043260,4043260,4043260,4043260,4043260
81036575,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 서린 (16GB),340000,340000,340000,340000,340000,340000,340000,340000
81036614,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 서린 (32GB),675000,675000,675000,674980,674980,675000,674980,675000
95202428,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 파인인포 (16GB),328000,328000,328000,328000,328000,328000,328000,328000
95205869,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 파인인포 (32GB),677490,677490,677490,677490,652490,652490,652490,652490
81036653,ADATA DDR5-5600 CL46 LANCER BLADE 화이트 서린 (16GB),340000,340000,340000,340000,334300,334300,334300,334300
81036776,ADATA DDR5-5600 CL46 LANCER BLADE 화이트 서린 (32GB),674950,674950,674950,674970,674970,674990,674950,674970
95202470,ADATA DDR5-5600 CL46 LANCER BLADE 화이트 파인인포 (16GB),328000,328000,328000,328000,328000,328000,328000,328000
95205893,ADATA DDR5-5600 CL46 LANCER BLADE 화이트 파인인포 (32GB),674920,674940,674980,674980,649990,649990,649990,649990
68918912,ADATA DDR5-5600 CL46-45-45 서린 (16GB),339970,339970,339970,339990,339990,339990,339950,339970
68918885,ADATA DDR5-5600 CL46-45-45 서린 (32GB),623500,730430,730430,730440,730440,730450,730450,730460
29822102,ADATA DDR5-5600 CL46-45-45 코잇 (16GB),342500,342500,342500,342500,342500,342500,342500,342500
