product_code,product_name,2026-08-28,2026-08-27,2026-08-26,2026-08-25,2026-08-24,2026-08-23,2026-08-22,2026-08-21
6917302,2.5 to 3.5 하드 변환가이드 (PS-G001),660,660,660,660,660,660,660,660
81037007,ADATA IM2P32A8 M.2 NVMe 벌크 (256GB),299000,299000,299000,299000,299000,299000,299000,299000
81037016,ADATA IM2P32A8 M.2 NVMe 벌크 (512GB),443290,443290,443290,443290,443290,443290,443290,443290
92154218,ADATA IMSS316 mSATA 벌크 (256GB),299000,299000,299000,299000,299000,299000,299000,299000
92154230,ADATA IMSS316 mSATA 벌크 (512GB),423000,423000,423000,423000,423000,423000,423000,423000
47038079,ADATA ISSS316 (512GB),430000,430000,430000,430000,430000,430000,430000,430000
17287469,ADATA LEGEND 710 M.2 NVMe (1TB),279640,279710,279810,279830,279900,279910,279920,279930
19649351,ADATA LEGEND 710 M.2 NVMe (256GB),108990,108990,108990,108990,108990,108990,108990,108990
17287529,ADATA LEGEND 710 M.2 NVMe (512GB),162000,162000,162000,162000,162000,162000,162000,162000
79395908,ADATA LEGEND 710 M.2 NVMe 파인인포 (1TB),279980,279980,279400,279400,279400,279400,279400,279400
79396202,ADATA LEGEND 710 M.2 NVMe 파인인포 (256GB),108930,108930,108740,108740,108740,108740,108740,108740
79396181,ADATA LEGEND 710 M.2 NVMe 파인인포 (512GB),159490,159490,161990,159490,159490,161990,159490,159500
79250330,ADATA LEGEND 860 M.2 NVMe (1TB),278990,278990,278990,278990,278990,278990,278990,279000
79401872,ADATA LEGEND 860 M.2 NVMe (2TB),494990,494990,494990,495000,495000,495000,495000,495000
79250273,ADATA LEGEND 860 M.2 NVMe (500GB),165000,165000,165000,165000,165000,165000,165000,165000
30008744,ADATA LEGEND 900 M.2 NVMe (1TB),285000,285000,285000,285000,285000,285000,285000,285000
30008675,ADATA LEGEND 900 M.2 NVMe (2TB),644220,644290,644390,644410,644490,644510,644610,644630
30008783,ADATA LEGEND 900 M.2 NVMe (512GB),181810,181880,181930,182020,182020,182020,182020,182020
