product_code,product_name,first_collected_date
122721337,NZXT H3 Flow SI RGB (화이트),2026-07-03
122721323,NZXT H3 Flow SI RGB (블랙),2026-07-03
122721295,NZXT H6 RGB+ (화이트),2026-07-03
122721291,NZXT H6 RGB+ (블랙),2026-07-03
122721280,NZXT H6 (화이트),2026-07-03
122721270,NZXT H6 (블랙),2026-07-03
122720355,2MONS 4U HQ D445 워터쿨360,2026-07-03
122676872,CORSAIR FRAME 4000X RS (블랙),2026-07-07
122676885,CORSAIR FRAME 4000X RS (화이트),2026-07-07
122724838,CORSAIR FRAME 5000D WOOD RS (블랙),2026-07-08
122724847,CORSAIR FRAME 5000D WOOD RS (화이트),2026-07-08
122726052,이그닉리트 스탠다드 사무용 케이스 (블랙),2026-07-08
122726061,이그닉리트 스탠다드 사무용 케이스 (화이트),2026-07-08
122728321,SSUPD MESHROOM S V2 Ver.2 PCIe 5.0 B (블랙),2026-07-10
122829168,리안리 A4-H2O PCle 5.0 (블랙),2026-07-11
122829169,리안리 A4-H2O PCle 5.0 (실버),2026-07-11
123134408,darkFlash FLOATRON F1 ARGB (블랙),2026-07-16
123134410,darkFlash FLOATRON F1 ARGB (화이트 블랙),2026-07-16
123133670,리안리 B4-mATX (블랙),2026-07-16
123133696,리안리 B4-mATX (우드 블랙),2026-07-16
123133703,리안리 B4-mATX (우드 화이트),2026-07-16
123133683,리안리 B4-mATX (화이트),2026-07-16
123133770,마이크로닉스 WIZMAX 샤인,2026-07-16
123235966,슈퍼스페이스 SS-PC1 (블랙),2026-07-17
123537643,Antec C2M MESH ARGB (블랙),2026-07-21
123537654,Antec C2M MESH ARGB (화이트),2026-07-21
123537617,아이구주 VENTI P700 BTF (블랙),2026-07-21
123537620,아이구주 VENTI P700 BTF (화이트),2026-07-21
123605150,Phanteks ENTHOO PRO 2 SERVER V2,2026-07-23
122679912,써멀테이크 Retro 260 TG,2026-07-24
122679972,써멀테이크 Retro 360 TG,2026-07-24
123621868,Antec ST20M MESH,2026-07-25
123669938,쿨러마스터 HAF II 500,2026-07-29
123695321,Phanteks XT M5,2026-07-31
123695338,Phanteks XT V5,2026-07-31
123693998,Razer Travel Case Folio,2026-07-31
