product_code,product_name,first_collected_date
123234946,AMD 라이젠7-5세대 7700X3D (라파엘) (멀티팩 정품),2026-07-17
123538035,AMD 라이젠7-5세대 7700X3D (라파엘) (정품),2026-07-22
124012214,인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시) (벌크 정품),2026-08-25
124012161,인텔 코어 울트라5 시리즈2 250KF Plus (애로우레이크 리프레시) (벌크 정품),2026-08-25
124012222,인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시) (벌크 정품),2026-08-25
124115346,인텔 코어 울트라5 시리즈2 225 (애로우레이크) (벌크 정품),2026-09-03
124115352,인텔 코어 울트라5 시리즈2 225F (애로우레이크) (벌크 정품),2026-09-03
124115204,인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (벌크 정품),2026-09-03
124115261,인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (벌크 정품),2026-09-03
124115325,인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (벌크 정품),2026-09-03
