product_code,product_name,first_collected_date
122719992,ASUS PRIME 지포스 RTX 5080 EVO OC D7 16GB 인텍앤컴퍼니,2026-07-03
122695605,PNY 지포스 RTX 5080 VERTO OC D7 16GB Triple Fan 한성컴퓨터,2026-07-03
122724144,COLORFUL RTX 3060 Battle AX DUO V2 D6 12GB 피씨디렉트,2026-07-07
122724186,COLORFUL iGame RTX 5070 Ti ULTRA OC SFF White D7 16GB 피씨디렉트,2026-07-07
122724158,COLORFUL iGame 지포스 RTX 5060 ULTRA DUO OC D7 8GB 피씨디렉트,2026-07-07
122726685,ASUS DUAL 지포스 RTX 3050 O6G OC D6 6GB 코잇,2026-07-09
122726712,ASUS DUAL 지포스 RTX 5050 OC D6 8GB 코잇,2026-07-09
122726726,ASUS DUAL 지포스 RTX 5060 EVO OC D7 8GB 코잇,2026-07-09
122726797,ASUS DUAL 지포스 RTX 5060 Ti OC D7 16GB 코잇,2026-07-09
122726759,ASUS DUAL 지포스 RTX 5060 Ti OC D7 8GB 코잇,2026-07-09
122726777,ASUS DUAL 지포스 RTX 5060 Ti WHITE OC D7 8GB 코잇,2026-07-09
122726733,ASUS DUAL 지포스 RTX 5060 WHITE OC D7 8GB 코잇,2026-07-09
122726839,ASUS DUAL 지포스 RTX 5070 OC D7 12GB 코잇,2026-07-09
122726864,ASUS PRIME 지포스 RTX 5070 OC D7 12GB 코잇,2026-07-09
122726879,ASUS PRIME 지포스 RTX 5070 Ti OC D7 16GB 코잇,2026-07-09
122726871,ASUS PRIME 지포스 RTX 5070 WHITE OC D7 12GB 코잇,2026-07-09
122726926,ASUS ROG Astral 지포스 RTX 5080 OC D7 16GB 코잇,2026-07-09
122726932,ASUS ROG Astral 지포스 RTX 5080 WHITE OC D7 16GB 코잇,2026-07-09
122726948,ASUS ROG Astral 지포스 RTX 5090 OC D7 32GB 코잇,2026-07-09
122726959,ASUS ROG Astral 지포스 RTX 5090 WHITE OC D7 32GB 코잇,2026-07-09
122726893,ASUS TUF Gaming 지포스 RTX 5070 Ti OC D7 16GB 코잇,2026-07-09
122726898,ASUS TUF Gaming 지포스 RTX 5070 Ti WHITE OC D7 16GB 코잇,2026-07-09
122726915,ASUS TUF Gaming 지포스 RTX 5080 OC D7 16GB 코잇,2026-07-09
122726943,ASUS TUF Gaming 지포스 RTX 5090 OC D7 32GB 코잇,2026-07-09
122726535,GIGABYTE AORUS 지포스 RTX 5080 INFINITY D7 16GB 피씨디렉트,2026-07-09
122726547,GIGABYTE AORUS 지포스 RTX 5080 INFINITY WOOD D7 16GB 피씨디렉트,2026-07-09
122726650,GIGABYTE 지포스 RTX 5060 WINDFORCE MAX OC V2 D7 8GB 제이씨현,2026-07-09
122829828,GIGABYTE AORUS 지포스 RTX 5070 Ti INFINITY D7 16GB 피씨디렉트,2026-07-11
122829866,PNY 지포스 RTX 5060 D7 8GB Dual Fan 제이씨현,2026-07-11
