product_code,product_name,first_collected_date
122719734,레오닉스 LEO-K1977,2026-07-03
122719729,KAPA KP-1080C,2026-07-03
122721915,KiiBOOM Phantom 98 Lite 유무선 기계식 그린 (모시축),2026-07-04
122721920,KiiBOOM Phantom 98 Lite 유무선 기계식 그린 (모찌축),2026-07-04
122721928,KiiBOOM Phantom 98 Lite 유무선 기계식 클리어 (모시축),2026-07-04
122721929,KiiBOOM Phantom 98 Lite 유무선 기계식 클리어 (모찌축),2026-07-04
122721923,KiiBOOM Phantom 98 Lite 유무선 기계식 핑크 (모시축),2026-07-04
122721926,KiiBOOM Phantom 98 Lite 유무선 기계식 핑크 (모찌축),2026-07-04
122688432,로지텍 KEYS-TO-GO 2 for iPad (병행수입),2026-07-06
122722777,AULA F108 Pro V2 유무선 기계식 모던 블랙 (세이야축),2026-07-07
122722776,AULA F108 Pro V2 유무선 기계식 모던 블랙 (유성축),2026-07-07
122722772,AULA F108 Pro V2 유무선 기계식 모던 블랙 (저소음 바다축),2026-07-07
122722787,AULA F108 Pro V2 유무선 기계식 샌드 베이지 (세이야축),2026-07-07
122722785,AULA F108 Pro V2 유무선 기계식 샌드 베이지 (유성축),2026-07-07
122722782,AULA F108 Pro V2 유무선 기계식 샌드 베이지 (저소음 바다축),2026-07-07
122722761,AULA F87 Pro V2 유무선 기계식 모던 블랙 (세이야축),2026-07-07
122722760,AULA F87 Pro V2 유무선 기계식 모던 블랙 (유성축),2026-07-07
122722759,AULA F87 Pro V2 유무선 기계식 모던 블랙 (저소음 바다축),2026-07-07
122722755,AULA F87 Pro V2 유무선 기계식 샌드 베이지 (세이야축),2026-07-07
122722756,AULA F87 Pro V2 유무선 기계식 샌드 베이지 (유성축),2026-07-07
122722753,AULA F87 Pro V2 유무선 기계식 샌드 베이지 (저소음 바다축),2026-07-07
122687602,CORSAIR 클리퍼 PRO 미니 60 (블랙),2026-07-07
122727045,EPOMAKER G84 PRO 유무선 기계식 (저소음 바다소금축),2026-07-09
122727042,EPOMAKER G84 PRO 유무선 기계식 (크리미축),2026-07-09
122726093,SPM HMX 목새 라이트 리니어 스위치 (35Pcs),2026-07-09
122726064,SPM HMX 목새 라이트 택타일 스위치 (35Pcs),2026-07-09
122728404,EPOMAKER Cloudgel 구름젤 팜레스트 세트 (그린),2026-07-10
122728412,EPOMAKER Cloudgel 구름젤 팜레스트 세트 (블루),2026-07-10
122728413,EPOMAKER Cloudgel 구름젤 팜레스트 세트 (투명),2026-07-10
122728414,EPOMAKER Cloudgel 구름젤 팜레스트 세트 (퍼플),2026-07-10
122728417,EPOMAKER Cloudgel 구름젤 팜레스트 세트 (핑크),2026-07-10
122694226,Razer Tartarus V2 (병행수입),2026-07-13
122688431,로지텍 KEYS-TO-GO 2 (병행수입),2026-07-13
122931638,Ducky OK-M 65KE 유무선 기계식 (Baby축),2026-07-14
122931633,Ducky OK-M 65KE 유무선 기계식 (Red Wine축),2026-07-14
122931426,Ducky OK-M 75KE 유무선 기계식 (Baby축),2026-07-14
122931436,Ducky OK-M 75KE 유무선 기계식 (Red Wine축),2026-07-14
122930962,Ducky OK-M 98KE 유무선 기계식 (Baby축),2026-07-14
122930511,Ducky OK-M 98KE 유무선 기계식 (Red Wine축),2026-07-14
122930204,"그루브스톤 GV10 수제윤활 애플라떼 GA (반저소음 코랄축, 38g)",2026-07-14
122930205,"그루브스톤 GV10 수제윤활 애플라떼 GA (반저소음 코랄축, 45g)",2026-07-14
122931648,"그루브스톤 GV10M 8K 유무선 기계식 라이트P (저소음 밀키S축, 45g)",2026-07-14
122930200,디알고 RK1RGB,2026-07-14
123032886,FL-ESPORTS OG104N 레트로 유무선 기계식 골든 브라운 (리치베리축),2026-07-15
123032890,FL-ESPORTS OG104N 레트로 유무선 기계식 골든 브라운 (저소음 카라멜축),2026-07-15
123032896,FL-ESPORTS OG104N 레트로 유무선 기계식 골든 브라운 (저소음 파도축),2026-07-15
123032904,FL-ESPORTS OG104N 레트로 유무선 기계식 다크 믹스 (리치베리축),2026-07-15
123032906,FL-ESPORTS OG104N 레트로 유무선 기계식 다크 믹스 (저소음 카라멜축),2026-07-15
123032909,FL-ESPORTS OG104N 레트로 유무선 기계식 다크 믹스 (저소음 파도축),2026-07-15
123032866,FL-ESPORTS OG104N 레트로 유무선 기계식 레트로 그레이 (리치베리축),2026-07-15
123032869,FL-ESPORTS OG104N 레트로 유무선 기계식 레트로 그레이 (저소음 카라멜축),2026-07-15
123032874,FL-ESPORTS OG104N 레트로 유무선 기계식 레트로 그레이 (저소음 파도축),2026-07-15
123031636,한성컴퓨터 TFG Cloud Max CF 동그리 유무선 기계식 딸기말차 (KTT블루 포각),2026-07-15
123031627,한성컴퓨터 TFG Cloud Max CF 동그리 유무선 기계식 딸기말차 (브라운슈가 토독),2026-07-15
123031635,한성컴퓨터 TFG Cloud Max CF 동그리 유무선 기계식 블루베리 스무디 (KTT블루 포각),2026-07-15
123031632,한성컴퓨터 TFG Cloud Max CF 동그리 유무선 기계식 블루베리 스무디 (브라운슈가 토독),2026-07-15
123031619,한성컴퓨터 TFG Cloud Max CF 동그리 유무선 기계식 쿠키앤크림 (KTT블루 포각),2026-07-15
123031617,한성컴퓨터 TFG Cloud Max CF 동그리 유무선 기계식 쿠키앤크림 (브라운슈가 토독),2026-07-15
123031559,한성컴퓨터 TFG Cloud Max CL 유무선 기계식 딸기말차 (KTT블루 포각),2026-07-15
