product_code,product_name,first_collected_date
123437221,큐빅스전자 큐빅스 CXH320F240 무결점,2026-07-21
123437217,큐빅스전자 큐빅스 CXH320F240,2026-07-21
123437193,큐빅스전자 큐빅스 CXH320F144 무결점,2026-07-21
123437188,큐빅스전자 큐빅스 CXH320F144,2026-07-21
123437156,큐빅스전자 큐빅스 CXH27F240 무결점,2026-07-21
123437151,큐빅스전자 큐빅스 CXH27F240,2026-07-21
123437128,큐빅스전자 큐빅스 CX270Q100 무결점,2026-07-21
123437125,큐빅스전자 큐빅스 CX270Q100,2026-07-21
123437102,큐빅스전자 큐빅스 CXH24F240 무결점,2026-07-21
123437100,큐빅스전자 큐빅스 CXH24F240,2026-07-21
123437034,제이씨현 UDEA EDGE ED2433RA 유케어 VA 오피스 무결점,2026-07-21
123437028,제이씨현 UDEA EDGE ED2433SC 유케어 VA 오피스 무결점,2026-07-21
123437018,제이씨현 UDEA EDGE ED2433SS 유케어 VA 오피스 무결점,2026-07-21
123437008,제이씨현 UDEA EDGE ED2433KC 유케어 VA 오피스 무결점,2026-07-21
123436998,제이씨현 UDEA EDGE ED2433IT 유케어 VA 오피스 무결점,2026-07-21
123436897,큐빅스전자 큐빅스 CX240F180 무결점,2026-07-21
123436892,큐빅스전자 큐빅스 CX240F180,2026-07-21
123436769,큐빅스전자 큐빅스 CXG200VT,2026-07-21
123235492,에스앤코 S1,2026-07-17
123235483,에스앤코 S3,2026-07-17
123235471,에스앤코 S11,2026-07-17
123235445,Pixio PXC348CNW 커브드네오 UWQHD 180 게이밍 블랙,2026-07-17
123235370,에스앤코 S780,2026-07-17
123134643,쓰리윈즈 인터픽셀 IP1510T 터치 IPS 60 C포트 포터블 휴대용 틸트 앵글 컨트롤,2026-07-16
123134411,쓰리윈즈 인터픽셀 IPU3420 UWQHD 120 울트라 와이드 무결점,2026-07-16
123134365,쓰리윈즈 인터픽셀 IPU3420 UWQHD 120 울트라 와이드 일반,2026-07-16
123133909,LG전자 울트라HD 32U720B,2026-07-16
123032804,에스앤코 S680,2026-07-15
123032783,에스앤코 S788,2026-07-15
123032703,에스앤코 S880,2026-07-15
123032675,에스앤코 S688,2026-07-15
123032654,에스앤코 S500,2026-07-15
123032611,에스앤코 S14,2026-07-15
123032535,에스앤코 S9H,2026-07-15
122930946,BenQ ZOWIE XQ2566X 게이밍 무결점,2026-07-14
122930651,티브이로직 LVM-246A,2026-07-14
122930222,알파스캔 에이건 AGP346UCSD 게이밍 울트라와이드 OLED 360 USB-C HDR 500 Ai 멀티스탠드 무결점,2026-07-14
122930218,크로스오버 38LDW199Q NANO IPS-BLACK PD65 H2.1 게이밍 울트라하이퍼 무결점,2026-07-14
122930210,크로스오버 38LDW199Q NANO IPS-BLACK PD65 H2.1 게이밍 울트라하이퍼,2026-07-14
122729006,비트엠 Newsync P225IPS 터치스크린 HDR 무결점,2026-07-10
122729004,비트엠 Newsync P225IPS 터치스크린 HDR,2026-07-10
122727687,TCL 27P2A Pro Mini LED,2026-07-10
122727663,TCL 27P3A Pro QD-Mini LED,2026-07-10
122727619,TCL 27P3A QD-Mini LED,2026-07-10
122727542,TCL 32X3A 4K OLED+,2026-07-09
122727541,한성컴퓨터 TFG27Q12PBL QHD Nano IPS Black 120 게이밍 무결점,2026-07-09
122727536,한성컴퓨터 TFG27Q12PBL QHD Nano IPS Black 120 게이밍,2026-07-09
122727487,비트엠 Newsync X3420QW WQHD 200 게이밍 멀티스탠드 무결점,2026-07-09
122727464,비트엠 Newsync X3420QW WQHD 200 게이밍 멀티스탠드,2026-07-09
122727366,HP 오멘 34C G2 게이밍,2026-07-09
122727330,HP 오멘 27Q G2 게이밍,2026-07-09
122724596,LG전자 울트라기어 25G520B,2026-07-08
122724579,LG전자 울트라기어 27G520B,2026-07-08
122724466,크로스오버 미켈란 49UW199GW 5K DQHD PD65 H2.1 게이밍 화이트 무결점,2026-07-08
122724437,크로스오버 미켈란 49UW199GW 5K DQHD PD65 H2.1 게이밍 화이트,2026-07-08
122722729,비엔엠큐닉스 큐닉스 CORE MG32B 280 무결점,2026-07-07
122722713,비엔엠큐닉스 큐닉스 CORE MG32B 280 일반,2026-07-07
122722435,삼성전자 뷰피니티 S8 S85TH LS40H852,2026-07-04
122722316,삼성전자 뷰피니티 S8 S80UH LS32H802U,2026-07-04
122722292,삼성전자 뷰피니티 S8 S80UH LS27H802U,2026-07-04
122722174,삼성전자 뷰피니티 S7 S70H LS32H701,2026-07-12
122722119,DELL P2726DEB USB-C 허브 컨퍼런싱,2026-07-04
122722031,DELL P 24 USB-C 허브 모니터 P2426HE,2026-07-04
