product_code,product_name,first_collected_date
122721897,ASUS PRIME A520M-K ARGB 대원씨티에스,2026-07-04
122723330,ASUS PRIME B650EM-A WIFI-CSM 대원씨티에스,2026-07-07
122726156,GIGABYTE B850 AORUS ELITE X3D 제이씨현,2026-07-08
122726258,ASRock B550M Pro-A 디앤디컴,2026-07-09
122726205,ASRock B860M Challenger WiFi 7 White 디앤디컴,2026-07-09
122726583,GIGABYTE X870 AORUS INFINITY 피씨디렉트,2026-07-09
122728388,GIGABYTE X870 AORUS INFINITY 제이씨현,2026-07-10
122829100,ASRock B550M Pro-A + WiFi6E 랜카드 패키지 디앤디컴,2026-07-11
122829806,GIGABYTE X870E AERO X3D WOOD 피씨디렉트,2026-07-11
122930700,ASUS ROG STRIX X870-I GAMING WIFI 인텍앤컴퍼니,2026-07-14
123033137,ASUS P13R-E STCOM,2026-07-15
122718845,ASUS PRO WS W890E-SAGE SE 아이보라,2026-07-17
123651170,ASUS ROG CROSSHAIR 2006 대원씨티에스,2026-07-28
123668879,MSI PRO B860M-A WIFI6E,2026-07-29
123775341,ASUS PRO WS W890-SAGE 아이보라,2026-08-08
123775356,ASUS ROG CROSSHAIR X870E + ROG 류진 360 20주년 리미티드 에디션 STCOM,2026-08-08
124011856,MSI MAG X870E 토마호크 맥스 WIFI,2026-08-25
124011866,MSI MAG Z890 토마호크 WIFI II,2026-08-25
124033966,GIGABYTE H810M H GEN5 제이씨현,2026-08-27
124056572,ASRock X870E Taichi WHITE 디앤디컴,2026-08-28
124075601,COLORFUL BATTLE-AX B850M-PLUS S WIFI7 V14 도우정보,2026-09-01
124076275,COLORFUL CVN X870E ARK FROZEN V14 도우정보,2026-09-01
