product_code,product_name,first_collected_date
68914226,ADATA DDR5-6000 CL30 LANCER 블랙 패키지 서린 (64GB(32Gx2)),2026-07-02
31423763,마이크론 DDR5-4800 CL40 ECC/REG 대원씨티에스 (32GB),2026-07-02
79014581,ESSENCORE KLEVV DDR5-6400 CL32 CRAS V RGB AMD 패키지 서린 (32GB(16Gx2)),2026-07-01
27886676,ESSENCORE KLEVV DDR5-7200 CL34 CRAS V RGB 패키지 서린 (32GB(16Gx2)),2026-07-01
98783168,PATRIOT DDR5-5600 CL46 SIGNATURE CORE (64GB),2026-06-30
122709317,ADATA DDR5-6400 CL52 CUDIMM 파인인포 (16GB),2026-06-30
16507634,SK하이닉스 DDR5-4800 (16GB),2026-06-27
93804974,ADATA DDR5-4800 CL40 서린 (32GB),2026-06-26
93804950,ADATA DDR5-4800 CL40 서린 (16GB),2026-06-26
74341913,TeamGroup T-Force DDR5-7200 CL34 XTREEM ARGB 화이트 패키지 서린 (32GB(16Gx2)),2026-06-26
19567628,TeamGroup T-CREATE DDR5-6000 CL48 CLASSIC 패키지 서린 (64GB(32Gx2)),2026-06-26
18768413,TeamGroup DDR5-5600 CL46 Elite Plus 블랙 서린 (16GB),2026-06-26
18207182,TeamGroup T-Force DDR5-7600 CL36 Delta RGB 패키지 (32GB(16Gx2)),2026-06-26
18134837,TeamGroup T-Force DDR5-5600 CL32 Delta RGB 화이트 패키지 서린 (32GB(16Gx2)),2026-06-26
13461056,TeamGroup T-Force DDR4-4000 CL18 XTREEM ARGB 화이트 패키지 서린 (16GB(8Gx2)),2026-06-26
122705973,컴이지 킹덤 노트북 DDR4-3200 CL22 (8GB),2026-06-24
9596208,G.SKILL DDR4-3600 CL16 TRIDENT Z ROYAL C 골드 패키지 (32GB(16Gx2)),2026-06-23
18036653,G.SKILL DDR5-7200 CL34 TRIDENT Z5 RGB J 패키지 (32GB(16Gx2)),2026-06-19
105969302,TeamGroup T-CREATE DDR5-6000 CL40 EXPERT 화이트 패키지 서린 (128GB(64Gx2)),2026-06-19
16507664,SK하이닉스 DDR5-4800 (8GB),2026-06-18
27665987,CORSAIR DDR5-6000 CL30 VENGEANCE RGB BLACK 패키지 (32GB(16Gx2)),2026-06-17
68537399,아이티젠 DDR4-2133 (16GB),2026-06-16
54482201,아이티젠 DDR4-3200 (8GB),2026-06-12
37989125,ESSENCORE KLEVV DDR5-6400 CL32 CRAS V RGB WHITE 패키지 서린 (64GB(32Gx2)),2026-06-12
122694880,엠씨케이글로벌 OUTTON DDR4-3200 CL22 (16GB),2026-06-12
21538046,킹스톤 DDR5-5600 CL46 (8GB),2026-06-11
15630920,GeIL DDR5-5600 CL38 POLARIS RGB White 패키지 (32GB(16Gx2)),2026-06-10
110699500,TeamGroup T-CREATE DDR5-6000 CL30 EXPERT 패키지 서린 (32GB(16GX2)),2026-06-10
16343636,마이크론 Crucial 노트북 DDR4-3200 CL22 (16GB),2026-06-09
11055783,Terabyte Ramonster DDR4-3200 CL22 BLACK (16GB),2026-06-09
54481856,아이티젠 DDR4-2666 (16GB),2026-06-08
122689882,컴이지 킹덤 노트북 DDR4-3200 CL22 (16GB),2026-06-05
99946733,PATRIOT DDR5-6000 CL30 SIGNATURE PREMIUM EVO 화이트 (16GB),2026-06-01
99946718,PATRIOT DDR5-6000 CL30 SIGNATURE PREMIUM EVO 블랙 (16GB),2026-06-01
99946529,PATRIOT DDR5-5600 CL46 SIGNATURE PREMIUM 블랙 (8GB),2026-06-01
99893684,Apacer DDR5-5600 CL46 (32GB),2026-06-01
99893666,Apacer DDR5-5600 CL46 (16GB),2026-06-01
99887405,Apacer DDR5-6000 CL38 NOX WHITE 패키지 (32GB(16Gx2)),2026-06-01
99887393,Apacer DDR5-6000 CL38 NOX WHITE 패키지 (64GB(32Gx2)),2026-06-01
99887372,Apacer DDR5-6000 CL38 NOX BLACK 패키지 (32GB(16Gx2)),2026-06-01
99887354,Apacer DDR5-6000 CL38 NOX BLACK 패키지 (64GB(32Gx2)),2026-06-01
99887309,Apacer DDR5-5200 CL40 NOX WHITE 패키지 (32GB(16Gx2)),2026-06-01
99887288,Apacer DDR5-5200 CL40 NOX WHITE 패키지 (64GB(32Gx2)),2026-06-01
99886835,Apacer DDR5-5200 CL40 NOX BLACK 패키지 (32GB(16Gx2)),2026-06-01
99750215,마이크론 Crucial DDR5-5600 CL46 PRO 대원씨티에스 (32GB),2026-06-01
99749612,마이크론 Crucial DDR5-6400 CL52 CUDIMM 패키지 대원씨티에스 (32GB(16Gx2)),2026-06-01
99749609,마이크론 Crucial DDR5-6400 CL38 PRO Overclocking 대원씨티에스 (16GB),2026-06-01
99749564,Apacer DDR5-6000 CL38 NOX RGB SILVER 패키지 (64GB(32Gx2)),2026-06-01
99749558,Apacer DDR5-6000 CL38 NOX RGB SILVER 패키지 (32GB(16Gx2)),2026-06-01
99749546,Apacer DDR5-6000 CL38 NOX RGB BLACK 패키지 (64GB(32Gx2)),2026-06-01
99749339,Apacer DDR5-6000 CL38 NOX RGB BLACK 패키지 (32GB(16Gx2)),2026-06-01
99749285,Apacer DDR5-5200 CL40 NOX RGB SILVER 패키지 (64GB(32Gx2)),2026-06-01
99749258,Apacer DDR5-5200 CL40 NOX RGB SILVER 패키지 (32GB(16Gx2)),2026-06-01
99749180,Apacer DDR5-5200 CL40 NOX RGB BLACK 패키지 (64GB(32Gx2)),2026-06-01
99749048,Apacer DDR5-5200 CL40 NOX RGB BLACK 패키지 (32GB(16Gx2)),2026-06-01
99746936,DLI MEMORY DDR4-3200 CL22 (8GB),2026-06-01
99746915,DLI MEMORY DDR4-3200 CL22 (16GB),2026-06-01
99737063,AGI DDR5-5600 CL46 UD238 서린 (32GB),2026-06-01
99737048,AGI DDR5-5600 CL46 UD238 서린 (16GB),2026-06-01
99639581,SK하이닉스 DDR4-3200 (16GB),2026-06-01
99553838,마이크론 Crucial DDR5-6400 CL32 PRO Overclocking White 패키지 아스크텍 (32GB(16Gx2)),2026-06-01
99553832,마이크론 Crucial DDR5-6400 CL32 PRO Overclocking 패키지 아스크텍 (32GB(16Gx2)),2026-06-01
99543740,코오롱 시리즈 G.SKILL Ripjaws DDR3 SO DIMM DDR3L RAM 16GB 2x8GB 1600MT s CL9 9 28 ..,2026-06-01
99293237,ADATA 노트북 DDR4-3200 CL22 파인인포 (32GB),2026-06-01
99128864,타무즈 DDR5-5600 CL40 XMP (16GB),2026-06-01
98613503,G.SKILL DDR5-6400 CL32 T5 NEO ECC/REG 패키지 (128GB(32Gx4)),2026-06-01
98613491,G.SKILL DDR5-6400 CL32 T5 NEO ECC/REG 패키지 (192GB(48Gx4)),2026-06-01
98613434,G.SKILL DDR5-6400 CL36 T5 NEO ECC/REG 패키지 (256GB(64Gx4)),2026-06-01
98576942,G.SKILL DDR5-6400 CL32 G5 ECC/REG 패키지 (128GB(32Gx4)),2026-06-01
98572421,G.SKILL DDR5-6400 CL32 G5 ECC/REG 패키지 (192GB(48Gx4)),2026-06-01
982482,삼성전자 노트북 DDR3-1333 병행수입 (2GB),2026-06-01
97841867,HIKSEMI DDR4-3200 CL18 HIKER 중고 (16GB),2026-06-01
97365275,GeIL 노트북 DDR5-5600 CL46 (16GB),2026-06-01
97124186,GeIL DDR5-6000 CL38 GEMINI RGB White 패키지 (32GB(16Gx2)),2026-06-01
97124171,AFOX DDR4-3200 CL22 대원씨티에스 (16GB),2026-06-01
97124168,AFOX DDR4-3200 CL22 대원씨티에스 (8GB),2026-06-01
96773702,TeamGroup T-CREATE DDR5-6400 CL42 EXPERT 화이트 패키지 서린 (128GB(64Gx2)),2026-06-01
96773624,TeamGroup T-CREATE DDR5-6400 CL42 EXPERT 패키지 서린 (128GB(64Gx2)),2026-06-01
96773492,킹스톤 DDR5-5600 CL46 코잇 (16GB),2026-06-01
96773477,킹스톤 DDR5-5600 CL46 코잇 (32GB),2026-06-01
96773399,킹스톤 FURY DDR5-5600 CL36 Beast 화이트 코잇 (16GB),2026-06-01
96773372,킹스톤 FURY DDR5-5600 CL36 Beast 블랙 코잇 (16GB),2026-06-01
96773315,킹스톤 FURY DDR5-6000 CL30 Beast RGB 화이트 패키지 코잇 (32GB(16Gx2)),2026-06-01
96773312,킹스톤 FURY DDR5-6000 CL30 Beast RGB 화이트 패키지 코잇 (64GB(32Gx2)),2026-06-01
96773297,킹스톤 FURY DDR5-6000 CL30 Beast RGB 블랙 패키지 코잇 (64GB(32Gx2)),2026-06-01
96773279,킹스톤 FURY DDR5-6000 CL30 Beast RGB 블랙 패키지 코잇 (32GB(16Gx2)),2026-06-01
96426677,HIKSEMI DDR5-5600 CL46 HIKER (16GB),2026-06-01
96368429,타무즈 DDR5-5600 CL46 S5 (16GB),2026-06-01
9593742,G.SKILL DDR4-3200 CL16 AEGIS (16GB),2026-06-01
9593730,G.SKILL DDR4-3200 CL16 AEGIS (8GB),2026-06-01
95424116,BIWIN DDR5-6000 CL28 DW100 RGB 화이트 패키지 (48GB(24Gx2)),2026-06-01
95424092,BIWIN DDR5-6000 CL30 DW100 RGB 화이트 패키지 (64GB(32Gx2)),2026-06-01
95424089,BIWIN DDR5-6000 CL28 DW100 RGB 블랙 패키지 (48GB(24Gx2)),2026-06-01
95424074,BIWIN DDR5-6000 CL30 DW100 RGB 블랙 패키지 (32GB(16Gx2)),2026-06-01
95424062,BIWIN DDR5-6000 CL30 DW100 RGB 블랙 패키지 (64GB(32Gx2)),2026-06-01
95424023,BIWIN DDR5-6000 CL28 HX100 실버 패키지 (48GB(24Gx2)),2026-06-01
95424011,BIWIN DDR5-6000 CL30 HX100 실버 패키지 (32GB(16Gx2)),2026-06-01
95424008,BIWIN DDR5-6000 CL30 HX100 실버 패키지 (64GB(32Gx2)),2026-06-01
95423984,BIWIN DDR5-6000 CL28 HX100 블랙 패키지 (48GB(24Gx2)),2026-06-01
95423957,BIWIN DDR5-6000 CL30 HX100 블랙 패키지 (32GB(16Gx2)),2026-06-01
95423948,BIWIN DDR5-6000 CL30 HX100 블랙 패키지 (64GB(32Gx2)),2026-06-01
95423924,BIWIN DDR5-5600 CL46 (16GB),2026-06-01
95423906,BIWIN DDR5-5600 CL46 (32GB),2026-06-01
95423780,BIWIN DDR4-3200 CL22 (16GB),2026-06-01
95205893,ADATA DDR5-5600 CL46 LANCER BLADE 화이트 파인인포 (32GB),2026-06-01
95205869,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 파인인포 (32GB),2026-06-01
95205719,ADATA DDR5-6000 CL36 LANCER BLADE 화이트 패키지 파인인포 (32GB(16Gx2)),2026-06-01
95205638,ADATA DDR5-6000 CL34 LANCER BLADE 블랙 패키지 파인인포 (32GB(16Gx2)),2026-06-01
95205599,ADATA DDR5-6000 CL36 LANCER BLADE 블랙 패키지 파인인포 (32GB(16Gx2)),2026-06-01
95202470,ADATA DDR5-5600 CL46 LANCER BLADE 화이트 파인인포 (16GB),2026-06-01
95202428,ADATA DDR5-5600 CL46 LANCER BLADE 블랙 파인인포 (16GB),2026-06-01
95057837,PATRIOT DDR5-8000 CL38 VIPER Xtreme5 RGB 패키지 (32GB(16Gx2)),2026-06-01
95057237,PATRIOT DDR5-6000 CL28 VIPER Elite 5 ULTRA 패키지 (32GB(16Gx2)),2026-06-01
95056655,PATRIOT DDR5-6000 CL28 VIPER Elite 5 ULTRA RGB 패키지 (32GB(16Gx2)),2026-06-01
949437,삼성전자 노트북 DDR3-1333 병행수입 (4GB),2026-06-01
9480405,G.SKILL DDR4-3600 CL16 TRIDENT Z NEO C 패키지 (32GB(16Gx2)),2026-06-01
9470838,G.SKILL DDR4-3600 CL16 TRIDENT Z NEO C 패키지 (16GB(8Gx2)),2026-06-01
9470745,G.SKILL DDR4-3200 CL16 TRIDENT Z NEO 패키지 (16GB(8Gx2)),2026-06-01
94638203,ESSENCORE KLEVV DDR5-5600 CL46 AMD 파인인포 (8GB),2026-06-01
94638185,ESSENCORE KLEVV DDR5-5600 CL46 AMD 파인인포 (16GB),2026-06-01
94568981,ESSENCORE KLEVV DDR5-6000 CL30 BOLT V WHITE 패키지 서린 (64GB(32Gx2)),2026-06-01
94568963,ESSENCORE KLEVV DDR5-6000 CL30 BOLT V 패키지 서린 (64GB(32Gx2)),2026-06-01
94450724,이메이션 노트북 DDR4-3200 CL22-22-22-52 (16GB),2026-06-01
94450658,이메이션 DDR4-3200 CL22-22-22-52 (8GB),2026-06-01
94450646,이메이션 DDR4-3200 CL22-22-22-52 (16GB),2026-06-01
94450610,이메이션 DDR4-3200 CL22-22-22-52 (32GB),2026-06-01
94450436,이메이션 노트북 DDR5-5600 CL46-46-46 (16GB),2026-06-01
94450418,이메이션 노트북 DDR5-5600 CL46-46-46 (32GB),2026-06-01
94450400,이메이션 DDR5-5600 CL46-46-46 (16GB),2026-06-01
94450340,ADATA DDR4-3200 CL22 파인인포 (8GB),2026-06-01
94450319,ADATA DDR4-3200 CL22 파인인포 (16GB),2026-06-01
94450292,ADATA 노트북 DDR4-3200 CL22 파인인포 (8GB),2026-06-01
94450280,ADATA 노트북 DDR4-3200 CL22 파인인포 (16GB),2026-06-01
94129193,삼성전자 노트북 DDR4-3200 중고 (32GB),2026-06-01
9390978,ESSENCORE KLEVV DDR4-2666 CL19 파인인포 (16GB),2026-06-01
9390900,ESSENCORE KLEVV DDR4-2666 CL19 파인인포 (4GB),2026-06-01
93862913,V-Color DDR5-6400 CL32 ECC/REG 패키지 (128GB(32Gx4)),2026-06-01
93806003,마이크론 Crucial DDR5-5600 CL46 패키지 대원씨티에스 (128GB(64Gx2)),2026-06-01
93805283,ESSENCORE KLEVV DDR5-6400 CL30 FIT V WHITE 패키지 서린 (32GB(16Gx2)),2026-06-01
