product_code,product_name,first_collected_date
122710455,AFOX ME250 M.2 NVMe (1TB),2026-07-03
122724350,GUDGA GSM1500 M.2 NVMe (256GB),2026-07-07
122930212,파이슨 ESO01TBHLCJ-EL1 M.2 NVMe 벌크 (1TB),2026-07-13
123436629,COLORFUL CN600 M.2 NVMe 디앤디컴 (1TB),2026-07-21
123437642,타무즈 RXK550 벌크 (64GB),2026-07-21
123538119,FASTRO MS150 M.2 NVMe (960GB),2026-07-22
123606360,삼성전자 990 M.2 NVMe (1TB),2026-07-24
123606381,삼성전자 990 M.2 NVMe (2TB),2026-07-24
122669612,Sandisk Optimus GX 7100M M.2 2230 NVMe (1TB),2026-07-28
122669603,Sandisk Optimus GX 7100M M.2 2230 NVMe (2TB),2026-07-28
123683237,AGI AI828 M.2 NVMe (512GB),2026-07-30
123721509,PNY CS1031 Gen3 M.2 NVMe 제이씨현 (1TB),2026-08-03
123764697,AGI AI818 M.2 NVMe 서린 (1TB),2026-08-07
