collected_at,product_code,product_name,product_url,size,key_layout,connection_type,battery,battery_capacity,switch_contact_type,switch_type,actuation_force,key_switch,polling_rate,response_time,rollover,keycap_material,keycap_printing,extra_features,full_spec,registration_month,fetch_status,error
2026-05-21T20:52:10+00:00,37925804,1stPlayer LV67,https://prod.danawa.com/info/?pcode=37925804&cate=112782,미니,74키 이하,유선,,,,,,,,,,PBT,,멀티미디어,키보드 / 미니 / 유선 / 66키 / 숫자키없음 / RGB 백라이트 / CNC 풀 알루미늄 / 스위치 교체형 / 다이얼(노브) / PBT / 멀티미디어 / 착탈식 케이블,2024/02,ok,
2026-05-21T20:52:10+00:00,92357306,1stPlayer NEO87 유무선 기계식,https://prod.danawa.com/info/?pcode=92357306&cate=112782,텐키리스,93~84키,유선+무선,내장 배터리,4000~5999mAh,기계식,,45g,,,,,PBT,이중사출 키캡,멀티페어링 / 멀티미디어,키보드 / 텐키리스 / 유선+무선 / 기계식 / 전용동글(리시버) / 블루투스 / 내장 배터리 / 4000mAh / 88키 / 키압: 45g / S/W매크로 / 동시입력: 무한 / 숫자키없음 / RGB 백라이트 / 스텝스컬쳐2 / 스위치 교체형 / 흡음재 / C타입 포트 / PBT / 이중사출 키캡 / 한/영 정각 / 멀티페어링 / 멀티미디어 / 착탈식 케이블 / 가로: 375.36mm / 세로: 145.59mm / 높이: 42.82mm / 965g / 1년 보증,2025/06,ok,
2026-05-21T20:52:10+00:00,92357459,1stPlayer NEO87 유무선 기계식,https://prod.danawa.com/info/?pcode=92357459&cate=112782,텐키리스,93~84키,유선+무선,내장 배터리,4000~5999mAh,기계식,,45g,,,,,PBT,이중사출 키캡,멀티페어링 / 멀티미디어,키보드 / 텐키리스 / 유선+무선 / 기계식 / 전용동글(리시버) / 블루투스 / 내장 배터리 / 4000mAh / 88키 / 키압: 45g / S/W매크로 / 동시입력: 무한 / 숫자키없음 / RGB 백라이트 / 스텝스컬쳐2 / 스위치 교체형 / 흡음재 / C타입 포트 / PBT / 이중사출 키캡 / 한/영 정각 / 멀티페어링 / 멀티미디어 / 착탈식 케이블 / 가로: 375.36mm / 세로: 145.59mm / 높이: 42.82mm / 965g / 1년 보증,2025/06,ok,
2026-05-21T20:52:10+00:00,10891317,3M K50 USB 유선 키보드,https://prod.danawa.com/info/?pcode=10891317&cate=112782,풀배열,103키 이상,유선,,,멤브레인,,,,,,,,,멀티미디어,키보드 / 풀배열 / 유선 / 멤브레인 / 106키 / 생활방수 / 멀티미디어 / 가로: 440.9mm / 세로: 155mm / 높이: 26.5mm / 510g / 1년 보증,2020/03,ok,
2026-05-21T20:52:10+00:00,10890867,3M MK-150 무선 키보드 마우스 세트,https://prod.danawa.com/info/?pcode=10890867&cate=112782,풀배열,103키 이상,무선,AAA형 2개,,멤브레인,,,,,,,,,멀티미디어,키보드+마우스 / 풀배열 / 무선 / 멤브레인 / [키보드] 전용동글(리시버) / AAA형 2개 / 106키 / 생활방수 / 멀티미디어 / 가로: 440.9mm / 세로: 155mm / 높이: 26.5mm / 510g / 1년 보증 / [마우스] 무선 / 광 / 1600 / 3버튼 / AA형 1개,2020/03,ok,
2026-05-21T20:52:10+00:00,10890990,3M MK-250 무선 키보드 마우스 세트,https://prod.danawa.com/info/?pcode=10890990&cate=112782,풀배열,103키 이상,무선,AAA형 1개,,멤브레인,,,,,,,,,멀티미디어,키보드+마우스 / 풀배열 / 무선 / 멤브레인 / [키보드] 전용동글(리시버) / AAA형 1개 / 104키 / 생활방수 / 멀티미디어 / 가로: 438.6mm / 세로: 139mm / 높이: 17.5mm / 442.8g / 1년 보증 / [마우스] 무선 / 광 / 1600 / 3버튼 / AA형 1개,2020/03,ok,
2026-05-21T20:52:10+00:00,28123457,3M WR309LE 손목받침대,https://prod.danawa.com/info/?pcode=28123457&cate=112782,,,,,,,,,,,,,,,,손목받침대(팜레스트) / 젤 / 가로: 457mm / 세로: 69mm / 높이: 19mm,2023/09,ok,
2026-05-21T20:52:10+00:00,92187749,3M WR85B,https://prod.danawa.com/info/?pcode=92187749&cate=112782,,,,,,,,,,,,,,,,손목받침대(팜레스트) / 가로: 482mm / 세로: 50mm / 높이: 19mm / 440g,2025/06,ok,
2026-05-21T20:52:10+00:00,58007762,80Retros GAME1989 기계식,https://prod.danawa.com/info/?pcode=58007762&cate=112782,텐키리스,93~84키,유선,,,기계식,,45g,,1000Hz,1ms 응답속도,,PBT,염료승화 방식,멀티미디어,키보드 / 텐키리스 / 유선 / 기계식 / 87키 / 키압: 45g / S/W매크로 / 1000Hz / 1ms 응답속도 / 숫자키없음 / CNC 풀 알루미늄 / 스텝스컬쳐2 / 스테빌라이저 / 스위치 교체형 / 흡음재 / PBT / 염료승화 방식 / 한/영 정각 / 멀티미디어 / 가로: 391mm / 세로: 140mm / 높이: 34mm / 2600g / 1년 보증,2024/06,ok,
2026-05-21T20:52:10+00:00,77313287,80Retros GAME1989 기계식 커스텀 베어본,https://prod.danawa.com/info/?pcode=77313287&cate=112782,텐키리스,93~84키,유선,,,기계식,,,,1000Hz,1ms 응답속도,,,,멀티미디어,키보드(베어본) / 텐키리스 / 유선 / 기계식 / 87키 / S/W매크로 / 1000Hz / 1ms 응답속도 / 숫자키없음 / CNC 풀 알루미늄 / 스텝스컬쳐2 / 스위치 교체형 / 흡음재 / 멀티미디어 / 가로: 391mm / 세로: 140mm / 높이: 34mm / 2100g / 1년 보증,2025/03,ok,
2026-05-21T20:52:10+00:00,92045849,80Retros GB PAD 유무선,https://prod.danawa.com/info/?pcode=92045849&cate=112782,,74키 이하,유선+무선,내장 배터리,2000mAh 미만,,,,,1000Hz,1ms 응답속도,,,,,키패드 / 유선+무선 / 전용동글(리시버) / 블루투스 / 내장 배터리 / 1800mAh / 18키 / S/W매크로 / 1000Hz / 1ms 응답속도 / CNC 풀 알루미늄 / 스위치 교체형 / 가로: 132mm / 세로: 134mm / 높이: 45mm / 1200g,2025/06,ok,
2026-05-21T20:52:10+00:00,99054602,80Retros GB40 레트로 유무선,https://prod.danawa.com/info/?pcode=99054602&cate=112782,미니,74키 이하,유선+무선,내장 배터리,2000~3999mAh,기계식,,42g,,1000Hz,1ms 응답속도,,,,멀티미디어,키보드 / 미니 / 유선+무선 / 기계식 / 전용동글(리시버) / 블루투스 / 5.0 / 내장 배터리 / 3000mAh / 45키 / 키압: 42g / S/W매크로 / 1000Hz / 1ms 응답속도 / 숫자키없음 / CNC 풀 알루미늄 / 스텝스컬쳐2 / 스테빌라이저 / 스위치 교체형 / C타입 포트 / 영문 정각 / 멀티미디어 / 착탈식 케이블 / 키캡 리무버 / 가로: 260mm / 세로: 106mm / 높이: 34mm / 1145g / 1년 보증,2025/10,ok,
2026-05-21T20:52:10+00:00,77312324,80Retros GB65 기계식,https://prod.danawa.com/info/?pcode=77312324&cate=112782,미니,74키 이하,유선,,,기계식,,45g,,1000Hz,1ms 응답속도,,,,,키보드 / 미니 / 유선 / 기계식 / 67키 / 키압: 45g / S/W매크로 / 1000Hz / 1ms 응답속도 / 숫자키없음 / 스위치 교체형 / 스테빌라이저 / 흡음재 / 스텝스컬쳐2 / CNC 풀 알루미늄 / C타입 포트 / 한/영 정각 / 추가키캡: 11개 / 가로: 332mm / 세로: 125mm / 높이: 32mm / 1800g / 1년 보증,2025/03,ok,
2026-05-21T20:52:10+00:00,97357376,8bitdo Retro 108 유무선 기계식 F 에디션,https://prod.danawa.com/info/?pcode=97357376&cate=112782,풀배열,103키 이상,유선+무선,내장 배터리,2000~3999mAh,기계식,,,,,,,PBT,염료승화 방식,멀티페어링 / 멀티미디어,키보드 / 풀배열 / 유선+무선 / 기계식 / 전용동글(리시버) / 블루투스 / 내장 배터리 / 2000mAh / 108키 / 스위치: 카일 / S/W매크로 / 동시입력: 무한 / 스위치 교체형 / PBT / 염료승화 방식 / 일/영 정각 / 멀티페어링 / 멀티미디어 / 가로: 458.7mm / 세로: 169.7mm / 높이: 47.8mm / 1350g,2025/09,ok,
2026-05-21T20:52:10+00:00,88137002,8bitdo Retro 108 유무선 기계식 N 에디션,https://prod.danawa.com/info/?pcode=88137002&cate=112782,풀배열,103키 이상,유선+무선,내장 배터리,2000~3999mAh,기계식,,,,,,,PBT,염료승화 방식,멀티페어링 / 멀티미디어,키보드 / 풀배열 / 유선+무선 / 기계식 / 전용동글(리시버) / 블루투스 / 내장 배터리 / 2000mAh / 108키 / 스위치: 카일 / S/W매크로 / 동시입력: 무한 / 스위치 교체형 / PBT / 염료승화 방식 / 한/영 정각 / 멀티페어링 / 멀티미디어 / 가로: 458.7mm / 세로: 169.7mm / 높이: 47.8mm / 1350g,2025/04,ok,
2026-05-21T20:52:10+00:00,97357643,8bitdo Retro 유무선 기계식 C64 에디션,https://prod.danawa.com/info/?pcode=97357643&cate=112782,텐키리스,93~84키,유선+무선,내장 배터리,2000~3999mAh,기계식,,,,,,,ABS,염료승화 방식,,키보드 / 텐키리스 / 유선+무선 / 기계식 / 전용동글(리시버) / 블루투스 / 내장 배터리 / 2000mAh / 87키 / 스위치: Kailh Box / H/W매크로 / 동시입력: 무한 / 숫자키없음 / 금속하우징 / 스위치 교체형 / 다이얼(노브) / ABS / 염료승화 방식 / 영문 정각 / 착탈식 케이블 / 가로: 376.6mm / 세로: 169.6mm / 높이: 46.8mm / 1050g,2025/09,ok,
