collected_at,product_code,product_name,product_url,brand,graphics,cpu,ram,ssd,operating_system,inch,weight,resolution,refresh_rate,panel,cpu_brand,cpu_model,cpu_cores,npu,graphics_type,graphics_model,graphics_memory,ram_type,ram_slots,storage_slot,wireless,battery,ports,full_spec,registration_month,fetch_status,error
2026-07-22T14:41:25+09:00,16329845,ASUS BR1100FKA-BP0984RA (eMMC 128GB),https://prod.danawa.com/info/?pcode=16329845&cate=112758,ASUS,내장그래픽 / UHD Graphics,인텔 / 셀러론 / N5100 (1.1GHz),4GB,128GB,윈도우10 프로,29.46cm(11.6인치),1.4kg,1366x768,,,인텔,N5100 (1.1GHz),,,내장그래픽,UHD Graphics,,,,,,42Wh,USB-PD(+DC),노트북 / 2in1 / 29.46cm(11.6인치) / 1.4kg / 윈도우10 프로 / [화면] 1366x768 / [CPU] 인텔 / 셀러론 / N5100 (1.1GHz) / [그래픽] 내장그래픽 / UHD Graphics / [구성] 4GB / 용량: 128GB / USB-PD(+DC) / 42Wh,2022/02,ok,
2026-07-22T14:41:25+09:00,67623002,ASUS ExpertBook B3 B3604CMA-Q90541 (SSD 1TB),https://prod.danawa.com/info/?pcode=67623002&cate=112758,ASUS,내장그래픽 / Arc / 8core,인텔 / 코어 울트라7 / 155H (4.8GHz) / 11TOPS,16GB,1TB,OS미포함(프리도스),40.6cm(16인치),1.9kg,1920x1200(WUXGA),,,인텔,코어 울트라7,,11TOPS,내장그래픽,,,,램 교체,,,63Wh,USB-PD,노트북 / 40.6cm(16인치) / 1.9kg / OS미포함(프리도스) / [화면] 1920x1200(WUXGA) / 300nit / [CPU] 인텔 / 코어 울트라7 / 155H (4.8GHz) / 11TOPS / [그래픽] 내장그래픽 / Arc / 8core / [구성] 16GB / 램 교체: 가능 / 용량: 1TB / USB-PD / 63Wh,2024/09,ok,
2026-07-22T14:41:25+09:00,67623005,ASUS ExpertBook B3 B3604CMA-Q90541 (SSD 2TB),https://prod.danawa.com/info/?pcode=67623005&cate=112758,ASUS,내장그래픽 / Arc / 8core,인텔 / 코어 울트라7 / 155H (4.8GHz) / 11TOPS,16GB,2TB,OS미포함(프리도스),40.6cm(16인치),1.9kg,1920x1200(WUXGA),,,인텔,코어 울트라7,,11TOPS,내장그래픽,,,,램 교체,,,63Wh,USB-PD,노트북 / 40.6cm(16인치) / 1.9kg / OS미포함(프리도스) / [화면] 1920x1200(WUXGA) / 300nit / [CPU] 인텔 / 코어 울트라7 / 155H (4.8GHz) / 11TOPS / [그래픽] 내장그래픽 / Arc / 8core / [구성] 16GB / 램 교체: 가능 / 용량: 2TB / USB-PD / 63Wh,2024/09,ok,
2026-07-22T14:41:25+09:00,92762621,ASUS ExpertBook B3 B3604CMA-Q90541 (SSD 4TB),https://prod.danawa.com/info/?pcode=92762621&cate=112758,ASUS,내장그래픽 / Arc / 8core,인텔 / 코어 울트라7 / 155H (4.8GHz) / 11TOPS,16GB,4TB,OS미포함(프리도스),40.6cm(16인치),1.9kg,1920x1200(WUXGA),,,인텔,코어 울트라7,,11TOPS,내장그래픽,,,,램 교체,,,63Wh,USB-PD,노트북 / 40.6cm(16인치) / 1.9kg / OS미포함(프리도스) / [화면] 1920x1200(WUXGA) / 300nit / [CPU] 인텔 / 코어 울트라7 / 155H (4.8GHz) / 11TOPS / [그래픽] 내장그래픽 / Arc / 8core / [구성] 16GB / 램 교체: 가능 / 용량: 4TB / USB-PD / 63Wh,2024/09,ok,
2026-07-22T14:41:25+09:00,65073653,ASUS ExpertBook B3 B3604CMA-Q90541 (SSD 512GB),https://prod.danawa.com/info/?pcode=65073653&cate=112758,ASUS,내장그래픽 / Arc / 8core,인텔 / 코어 울트라7 / 155H (4.8GHz) / 11TOPS,16GB,512GB,OS미포함(프리도스),40.6cm(16인치),1.9kg,1920x1200(WUXGA),,,인텔,코어 울트라7,,11TOPS,내장그래픽,,,,램 교체,,,63Wh,USB-PD,"노트북 / 40.6cm(16인치) / 1.9kg / OS미포함(프리도스) / [화면] 1920x1200(WUXGA) / 300nit / [CPU] 인텔 / 코어 울트라7 / 155H (4.8GHz) / 11TOPS / [그래픽] 내장그래픽 / Arc / 8core / [구성] 16GB / 램 교체: 가능 / 용량: 512GB / USB-PD / 63Wh / 출시가: 1,299,000원",2024/09,ok,
2026-07-22T14:41:25+09:00,97568483,ASUS ExpertBook B3 B3605CCA-MB0349 (SSD 1TB),https://prod.danawa.com/info/?pcode=97568483&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS,16GB,1TB,OS미포함(프리도스),40.6cm(16인치),1.82kg,1920x1200(WUXGA),60Hz,,인텔,코어 울트라7(S2),,13TOPS,내장그래픽,Intel Graphics,,,램 교체,,,63Wh,USB-PD,노트북 / 40.6cm(16인치) / 1.82kg / OS미포함(프리도스) / [화면] 1920x1200(WUXGA) / 60Hz / 300nit / [CPU] 인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS / [그래픽] 내장그래픽 / Intel Graphics / [구성] 16GB / 램 교체: 가능 / 용량: 1TB / USB-PD / 63Wh,2025/08,ok,
2026-07-22T14:41:25+09:00,97568492,ASUS ExpertBook B3 B3605CCA-MB0349 (SSD 2TB),https://prod.danawa.com/info/?pcode=97568492&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS,16GB,2TB,OS미포함(프리도스),40.6cm(16인치),1.82kg,1920x1200(WUXGA),60Hz,,인텔,코어 울트라7(S2),,13TOPS,내장그래픽,Intel Graphics,,,램 교체,,,63Wh,USB-PD,노트북 / 40.6cm(16인치) / 1.82kg / OS미포함(프리도스) / [화면] 1920x1200(WUXGA) / 60Hz / 300nit / [CPU] 인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS / [그래픽] 내장그래픽 / Intel Graphics / [구성] 16GB / 램 교체: 가능 / 용량: 2TB / USB-PD / 63Wh,2025/08,ok,
2026-07-22T14:41:25+09:00,95989130,ASUS ExpertBook B3 B3605CCA-MB0349 (SSD 512GB),https://prod.danawa.com/info/?pcode=95989130&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS,16GB,512GB,OS미포함(프리도스),40.6cm(16인치),1.82kg,1920x1200(WUXGA),60Hz,,인텔,코어 울트라7(S2),,13TOPS,내장그래픽,Intel Graphics,,,램 교체,,,63Wh,USB-PD,노트북 / 40.6cm(16인치) / 1.82kg / OS미포함(프리도스) / [화면] 1920x1200(WUXGA) / 60Hz / 300nit / [CPU] 인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS / [그래픽] 내장그래픽 / Intel Graphics / [구성] 16GB / 램 교체: 가능 / 용량: 512GB / USB-PD / 63Wh,2025/08,ok,
2026-07-22T14:41:25+09:00,97568834,ASUS ExpertBook B3 B3605CCA-MB0349 WIN11 32GB램 (SSD 1TB),https://prod.danawa.com/info/?pcode=97568834&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS,32GB,1TB,윈도우11(설치),40.6cm(16인치),1.82kg,1920x1200(WUXGA),60Hz,,인텔,코어 울트라7(S2),,13TOPS,내장그래픽,Intel Graphics,,,램 교체,,,63Wh,USB-PD,노트북 / 40.6cm(16인치) / 1.82kg / 윈도우11(설치) / [화면] 1920x1200(WUXGA) / 60Hz / 300nit / [CPU] 인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS / [그래픽] 내장그래픽 / Intel Graphics / [구성] 32GB / 램 교체: 가능 / 용량: 1TB / USB-PD / 63Wh,2025/08,ok,
2026-07-22T14:41:25+09:00,97568837,ASUS ExpertBook B3 B3605CCA-MB0349 WIN11 32GB램 (SSD 2TB),https://prod.danawa.com/info/?pcode=97568837&cate=112758,ASUS,내장그래픽 / Intel Graphics,인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS,32GB,2TB,윈도우11(설치),40.6cm(16인치),1.82kg,1920x1200(WUXGA),60Hz,,인텔,코어 울트라7(S2),,13TOPS,내장그래픽,Intel Graphics,,,램 교체,,,63Wh,USB-PD,노트북 / 40.6cm(16인치) / 1.82kg / 윈도우11(설치) / [화면] 1920x1200(WUXGA) / 60Hz / 300nit / [CPU] 인텔 / 코어 울트라7(S2) / 255H (5.1GHz) / 13TOPS / [그래픽] 내장그래픽 / Intel Graphics / [구성] 32GB / 램 교체: 가능 / 용량: 2TB / USB-PD / 63Wh,2025/08,ok,
