collected_at,product_code,product_name,product_url,inch,resolution,refresh_rate,panel,aspect_ratio,shape,brightness,color,special_features,full_spec,registration_month,fetch_status,error
2026-07-14T19:00:06+00:00,41263007,6D SHARK S16 PLUS (해외구매),https://prod.danawa.com/info/?pcode=41263007&cate=112757,40cm(16인치),WQXGA(2560x1600),144Hz,IPS,와이드(16:10),평면,500nits,,,"포터블 모니터 / 40cm(16인치) / WQXGA(2560x1600) / 144Hz / IPS / 와이드(16:10) / 평면 / 1ms / 500nits / 1,500:1 / 휴대용 / 멀티터치 / 터치스크린 / 헤드폰 아웃 / 스피커 내장 / 860g / [단자정보] mini HDMI / USB C타입",2024/03,ok,
2026-07-14T19:00:06+00:00,11861725,AMH A329CUV REAL 144 (중고),https://prod.danawa.com/info/?pcode=11861725&cate=112757,81.28cm(32인치),FHD(1920x1080),144Hz,PVA,와이드(16:9),커브드,300nits,,조준선 표시 / FreeSync,"모니터 / 81.28cm(32인치) / FHD(1920x1080) / 144Hz / PVA / 와이드(16:9) / 커브드 / 1ms(OD) / 300nits / 4,000:1 / 틸트(상하) / [게임특화] 조준선 표시 / FreeSync / [단자정보] DVI / DP / HDMI",2016/10,ok,
2026-07-14T19:00:06+00:00,4227975,AMH A329G 강화유리 (중고),https://prod.danawa.com/info/?pcode=4227975&cate=112757,81cm(32인치),FHD(1920x1080),60Hz,,와이드(16:9),평면,400nits,,,모니터 / 81cm(32인치) / FHD(1920x1080) / 60Hz / 와이드(16:9) / 평면 / 5ms / 400nits / 스피커 내장 / 강화유리 / 9.8kg / [단자정보] D-SUB / DVI,2016/07,ok,
2026-07-14T19:00:06+00:00,7423192,AMH A329G 블랙 (중고),https://prod.danawa.com/info/?pcode=7423192&cate=112757,80.1cm(32인치),FHD(1920x1080),60Hz,,와이드(16:9),평면,400nits,블랙,,"모니터 / 80.1cm(32인치) / FHD(1920x1080) / 60Hz / 와이드(16:9) / 평면 / 5ms / 400nits / 1,600:1 / 스피커 내장 / [단자정보] D-SUB / DVI",2015/12,ok,
2026-07-14T19:00:06+00:00,16972127,AMH A329GAM (중고),https://prod.danawa.com/info/?pcode=16972127&cate=112757,80.1cm(32인치),FHD(1920x1080),144Hz,VA,와이드(16:9),평면,300nits,,조준선 표시,"모니터 / 80.1cm(32인치) / FHD(1920x1080) / 144Hz / VA / 와이드(16:9) / 평면 / 1ms(OD) / 300nits / 4,000:1 / [게임특화] 조준선 표시 / [단자정보] DVI / HDMI / D-SUB",2016/07,ok,
2026-07-14T19:00:06+00:00,5049699,AMH A399G 강화유리 (중고),https://prod.danawa.com/info/?pcode=5049699&cate=112757,99.1cm(39인치),FHD(1920x1080),60Hz,,와이드(16:9),평면,350nits,,,"모니터 / 99.1cm(39인치) / FHD(1920x1080) / 60Hz / 와이드(16:9) / 평면 / 5ms / 350nits / 3,000:1 / 스피커 내장 / 강화유리 / [단자정보] D-SUB / DVI",2017/04,ok,
2026-07-14T19:00:06+00:00,99838133,AOC 16T20 IPS USB-C 포터블 스피커 시력보호 (해외구매),https://prod.danawa.com/info/?pcode=99838133&cate=112757,39.5cm(16인치),FHD(1920x1080),60Hz,IPS,와이드(16:9),평면,250nits,,조준선 표시 / 블랙 이퀄라이저,"포터블 모니터 / 39.5cm(16인치) / FHD(1920x1080) / 60Hz / IPS / 와이드(16:9) / 평면 / 250nits / 1,000:1 / 헤드폰 아웃 / 스피커 내장 / 휴대용 / 틸트(상하) / 700g / [게임특화] 조준선 표시 / 블랙 이퀄라이저 / [단자정보] USB C타입 / mini HDMI",2025/10,ok,
2026-07-14T19:00:06+00:00,104224412,AOC Q27G4ZD 게이밍 OLED 280 QHD 프리싱크 HDR 400 (해외구매),https://prod.danawa.com/info/?pcode=104224412&cate=112757,67.3cm(27인치),QHD(2560x1440),280Hz,QD-OLED,와이드(16:9),평면,250nits,,인풋랙 제어 / 블랙 이퀄라이저 / 조준선 표시 / G-Sync 호환(NVIDIA인증) / FreeSync / Adaptive Sync / G-Sync 호환,"모니터 / 67.3cm(27인치) / QHD(2560x1440) / 280Hz / QD-OLED / 와이드(16:9) / 평면 / 0.03ms(GTG) / 250nits / 1,500,000:1 / VESA TRUE BLACK 400 / 헤드폰 아웃 / 피벗(회전) / 틸트(상하) / 엘리베이션(높낮이) / 스위블(좌우) / 6.6kg / [게임특화] 인풋랙 제어 / 블랙 이퀄라이저 / 조준선 표시 / G-Sync 호환(NVIDIA인증) / FreeSync / Adaptive Sync / G-Sync 호환 / [단자정보] DP 1.4 / HDMI 2.0",2025/09,ok,
2026-07-14T19:00:06+00:00,17568500,AONE AD240 FHD 프리싱크 HDR 무결점,https://prod.danawa.com/info/?pcode=17568500&cate=112757,60.45cm(24인치),FHD(1920x1080),100Hz,IPS,와이드(16:9),평면,250nits,,조준선 표시 / FreeSync,"모니터 / 60.45cm(24인치) / FHD(1920x1080) / 100Hz / IPS / 와이드(16:9) / 평면 / 5ms(BTW) / 250nits / 1,000:1 / 스피커 내장 / 헤드폰 아웃 / 틸트(상하) / 2.95kg / [게임특화] 조준선 표시 / FreeSync / [단자정보] D-SUB / HDMI",2022/07,ok,
2026-07-14T19:00:06+00:00,17568584,AONE AD270 FHD 프리싱크 HDR 무결점,https://prod.danawa.com/info/?pcode=17568584&cate=112757,68.58cm(27인치),FHD(1920x1080),75Hz,IPS,와이드(16:9),평면,300nits,,FreeSync,"모니터 / 68.58cm(27인치) / FHD(1920x1080) / 75Hz / IPS / 와이드(16:9) / 평면 / 5ms(GTG) / 300nits / 1,000:1 / 스피커 내장 / 틸트(상하) / [게임특화] FreeSync / [단자정보] D-SUB / HDMI",2022/07,ok,
2026-07-14T19:00:06+00:00,18937142,AONE AD320 FHD 프리싱크 HDR 무결점,https://prod.danawa.com/info/?pcode=18937142&cate=112757,80.01cm(32인치),FHD(1920x1080),75Hz,IPS,와이드(16:9),평면,300nits,,FreeSync,"모니터 / 80.01cm(32인치) / FHD(1920x1080) / 75Hz / IPS / 와이드(16:9) / 평면 / 5ms(GTG) / 300nits / 1,000:1 / 스피커 내장 / 틸트(상하) / [게임특화] FreeSync / [단자정보] HDMI / D-SUB",2023/02,ok,
2026-07-14T19:00:06+00:00,106780706,APPLE 2026 Studio Display MFEW4KH/A,https://prod.danawa.com/info/?pcode=106780706&cate=112757,68.3cm(27인치),5K UHD(5120x2880),60Hz,,,,600nits,,,"모니터 / 68.3cm(27인치) / 5K UHD(5120x2880) / 60Hz / 600nits / USB PD 지원 / 스피커 내장 / 틸트(상하) / 엘리베이션(높낮이) / 7.6kg / [단자정보] 썬더볼트5 / USB C타입 / [기타] Siri, Apple 스튜디오 디스플레이 모니터 스탠다드 글래스 + 기울기 및 높이조절 스탠드 세트",2026/03,ok,
2026-07-14T19:00:06+00:00,106780787,APPLE 2026 Studio Display MFEX4KH/A,https://prod.danawa.com/info/?pcode=106780787&cate=112757,68.3cm(27인치),5K UHD(5120x2880),60Hz,,,,600nits,,,"모니터 / 68.3cm(27인치) / 5K UHD(5120x2880) / 60Hz / 600nits / 스피커 내장 / USB PD 지원 / 틸트(상하) / 6.3kg / [단자정보] USB C타입 / 썬더볼트5 / [기타] Siri, Apple 스튜디오 디스플레이 모니터 스탠다드 글래스 + 기울기 조절 스탠드 세트",2026/03,ok,
