collected_at,product_code,product_name,product_url,screen_size,display_type,resolution,refresh_rate,hdr,smart_features,full_spec,registration_month,fetch_status,error
2026-06-27T06:20:37+09:00,65911163,32인치 HD 스마트 TV (스탠드),https://prod.danawa.com/info/?pcode=65911163&cate=10248425,32인치(81cm),LED TV,HD,,,넷플릭스 / 유튜브 / 미러링 / 구글TV / AI음성인식,LED TV / 32인치(81cm) / HD / 2022년형 / [스마트] 넷플릭스 / 유튜브 / 미러링 / 구글TV / AI음성인식 / [규격] HDMI(전체): 3개 / 베사홀: 100x100mm / 크기(가로x세로x깊이): 719x422(471)x80(205)mm,2022/05,ok,
2026-06-27T06:20:37+09:00,98483957,AVISION APEXF320HK (스탠드),https://prod.danawa.com/info/?pcode=98483957&cate=10248425,32인치(81cm),LED TV,HD,,,,LED TV / 32인치(81cm) / HD / 에너지효율: 1등급 / 2025년형 / [규격] HDMI(전체): 2개 / 베사홀: 100x100mm / 크기(가로x세로x깊이): 720x476x192mm,2025/09,ok,
2026-06-27T06:20:37+09:00,40715192,BD-75UHD (스탠드),https://prod.danawa.com/info/?pcode=40715192&cate=10248425,75인치(190cm),LED TV,4K UHD,60Hz,HDR10,,LED TV / 75인치(190cm) / 4K UHD / 주사율: 60Hz / 에너지효율: 5등급 / 2022년형 / [화질] HDR10 / [규격] HDMI(전체): 3개 / 베사홀: 400x200mm / 크기(가로x세로x깊이): 1689x972(1026)x89(322)mm,2022/01,ok,
2026-06-27T06:20:37+09:00,37478702,DA5500C (스탠드),https://prod.danawa.com/info/?pcode=37478702&cate=10248425,55인치(138cm),LED TV,4K UHD,60Hz,HDR10,,LED TV / 55인치(138cm) / 4K UHD / 주사율: 60Hz / 에너지효율: 1등급 / 2024년형 / [화질] HDR10 / [규격] HDMI(전체): 3개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 1190x750(773)x125(243)mm,2024/01,ok,
2026-06-27T06:20:37+09:00,48940058,GTNB320HD11 (스탠드),https://prod.danawa.com/info/?pcode=48940058&cate=10248425,32인치(81cm),LED TV,HD,,HDR10,넷플릭스 / 유튜브 / 미러링 / 구글TV / AI음성인식,LED TV / 32인치(81cm) / HD / 에너지효율: 1등급 / 2022년형 / [화질] HDR10 / [스마트] 넷플릭스 / 유튜브 / 미러링 / 구글TV / AI음성인식 / [규격] HDMI(전체): 3개 / 베사홀: 100x100mm / 크기(가로x세로x깊이): 719x422(471)x80(205)mm,2022/05,ok,
2026-06-27T06:20:37+09:00,99743774,HIKVISION D6055UN_IR (벽걸이),https://prod.danawa.com/info/?pcode=99743774&cate=10248425,55인치(139cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 55인치(139cm) / 실내용 / 디스플레이모듈 / 4K UHD / [규격] HDMI(전체): 3개 / 크기(가로x세로x깊이): 1276x748x52mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다 / 터치디스플레이 / 사인뷰플레이어,2025/10,ok,
2026-06-27T06:20:37+09:00,99743771,HIKVISION D6055UN_IR (본체),https://prod.danawa.com/info/?pcode=99743771&cate=10248425,55인치(139cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 55인치(139cm) / 실내용 / 디스플레이모듈 / 4K UHD / [규격] HDMI(전체): 3개 / 크기(가로x세로x깊이): 1276x748x52mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다 / 터치디스플레이 / 사인뷰플레이어,2025/10,ok,
2026-06-27T06:20:37+09:00,100697258,HKC 163인치 P0.9 COB LED 올인원 이동형 전광판 스크린 (이동형 스탠드),https://prod.danawa.com/info/?pcode=100697258&cate=10248425,163인치(414cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 163인치(414cm) / 실내용 / 디스플레이모듈 / 4K UHD / 2025년형 / [화질] 플리커프리 / 크기(가로x세로x깊이): 3608x2652x626mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다 / 플러그앤플레이,2025/11,ok,
2026-06-27T06:20:37+09:00,99944372,HKC 32KIOSK (본체),https://prod.danawa.com/info/?pcode=99944372&cate=10248425,32인치(81cm),상업용디스플레이,FHD,60Hz,,,상업용디스플레이 / 32인치(81cm) / 실내용 / 디스플레이모듈 / FHD / 주사율: 60Hz / 2025년형 / [규격] HDMI(전체): 1개 / 크기(가로x세로x깊이): 735x435x57mm / 무게: 10.5kg / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다 / 세로형설치,2025/11,ok,
2026-06-27T06:20:37+09:00,101071877,HKC 32인치 고휘도 사이니지 (본체),https://prod.danawa.com/info/?pcode=101071877&cate=10248425,32인치(81cm),상업용디스플레이,FHD,,,,상업용디스플레이 / 32인치(81cm) / 옥외용 / 디스플레이모듈 / FHD / 2025년형 / [화질] 화면반사방지 / [규격] HDMI(전체): 2개 / 베사홀: 300x200mm / 크기(가로x세로x깊이): 718x413x54mm / 무게: 9.0kg / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/11,ok,
2026-06-27T06:20:37+09:00,101071952,HKC 49인치 고휘도 사이니지 (본체),https://prod.danawa.com/info/?pcode=101071952&cate=10248425,49인치(123cm),상업용디스플레이,4K UHD,,,,상업용디스플레이 / 49인치(123cm) / 옥외용 / 디스플레이모듈 / 4K UHD / 2025년형 / [화질] 화면반사방지 / [규격] HDMI(전체): 2개 / 베사홀: 400x400mm / 크기(가로x세로x깊이): 1114x644x80mm / 무게: 24.0kg / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2025/11,ok,
2026-06-27T06:20:37+09:00,72589754,HKC HKC750UHD (스탠드),https://prod.danawa.com/info/?pcode=72589754&cate=10248425,75인치(191cm),LED TV,4K UHD,60Hz,HDR10,,LED TV / 75인치(191cm) / 4K UHD / 주사율: 60Hz / 에너지효율: 1등급 / 2024년형 / [화질] HDR10 / [규격] HDMI(전체): 3개 / 베사홀: 300x300mm / 크기(가로x세로x깊이): 1668x957(1030)x88(355)mm / 무게: 20.3kg,2024/12,ok,
2026-06-27T06:20:37+09:00,69698114,KCZ40TF (스탠드),https://prod.danawa.com/info/?pcode=69698114&cate=10248425,40인치(101cm),LED TV,FHD,,,,LED TV / 40인치(101cm) / FHD / 에너지효율: 3등급 / 2017년형 / [스마트] [규격] HDMI(전체): 3개 / 베사홀: 200x200mm / 크기(가로x세로x깊이): 906x510(564)x49(192)mm / 무게: 6.9kg,2017/12,ok,
2026-06-27T06:20:37+09:00,39248546,LG전자 110UM5J (벽걸이),https://prod.danawa.com/info/?pcode=39248546&cate=10248425,110인치(279cm),상업용디스플레이,4K UHD,120Hz,,,상업용디스플레이 / 110인치(279cm) / 실내용 / 디스플레이모듈 / 4K UHD / 주사율: 120Hz / 에너지효율: 효율등급 비대상 / 2022년형 / [스마트] [규격] HDMI(전체): 3개 / 베사홀: 1500x600mm / 크기(가로x세로x깊이): 2474x1408x99mm / ※ 별도의 증빙을 요하는 사업자전용 상품이 포함되어 있습니다,2022/04,ok,
