product_code,product_name
1013075,인텔 코어i7-1세대 860 (린필드) (중고)
10176534,AMD 라이젠5-2세대 3400G (피카소) (멀티팩 정품)
10187988,인텔 코어X-시리즈 i9-10940X (캐스케이드레이크) (정품)
103125350,인텔 코어i5-13세대 13600 (랩터레이크) (벌크)
103125386,인텔 코어i5-13세대 13600 (랩터레이크) (벌크+쿨러)
10370589,인텔 코어i5-9세대 9600KF (커피레이크-R) (해외구매)
104223188,AMD 라이젠5-5세대 7500X3D (라파엘) (멀티팩 정품)
104627873,AMD 라이젠7-6세대 9850X3D (그래니트 릿지) (멀티팩 정품)
104627927,AMD 라이젠7-6세대 9850X3D (그래니트 릿지) (정품)
10535205,인텔 펜티엄 골드 G5420 (커피레이크-R) (벌크)
106688090,AMD 라이젠5-4세대 5500 (세잔) (벌크 정품)
1068763,인텔 제온 X5570 (네할렘) (정품)
10728438,인텔 코어i5-9세대 9500 (커피레이크-R) (벌크)
10728462,인텔 코어i5-9세대 9500 (커피레이크-R) (벌크 + 쿨러)
108424286,인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시) (정품)
108424451,인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시) (정품)
108424457,인텔 코어 울트라5 시리즈2 250KF Plus (애로우레이크 리프레시) (정품)
108463445,인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시) (벌크)
108463448,인텔 코어 울트라5 시리즈2 250KF Plus (애로우레이크 리프레시) (벌크)
108463454,인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시) (벌크)
10861092,AMD 라이젠5-3세대 3600 (마티스) (멀티팩 정품)
10864506,인텔 코어i3-9세대 9100 (커피레이크-R) (벌크 + 쿨러)
10864521,인텔 코어i3-9세대 9100 (커피레이크-R) (벌크)
10946196,AMD 라이젠 스레드리퍼 2920X (콜팩스) (해외구매)
11016699,인텔 코어i5-9세대 9400 (커피레이크-R) (벌크 + 쿨러)
11016708,인텔 코어i5-9세대 9400 (커피레이크-R) (벌크)
11016720,인텔 코어i5-9세대 9400 (커피레이크-R) (해외구매)
11020131,AMD 라이젠5-3세대 3600 (마티스) (해외구매)
11021298,인텔 코어X-시리즈 i9-10900X (캐스케이드레이크) (벌크)
11021388,AMD 라이젠7-3세대 3700X (마티스) (해외구매)
11021694,AMD 라이젠3-2세대 3200G (피카소) (해외구매)
11022333,AMD 라이젠3-1세대 2200G (레이븐 릿지) (해외구매)
11022852,AMD 라이젠9-3세대 3900X (마티스) (해외구매)
11024358,AMD 라이젠5-3세대 3600X (마티스) (해외구매)
11025336,AMD 애슬론 3000G (레이븐 릿지) (해외구매)
11026104,AMD 라이젠5-2세대 2600X (피나클 릿지) (해외구매)
11026596,AMD 라이젠7-3세대 3800X (마티스) (해외구매)
11026701,AMD 라이젠9-3세대 3950X (마티스) (해외구매)
11026974,AMD 라이젠5-2세대 3400G (피카소) (해외구매)
