product_code,product_name
100270625,INNO3D 지포스 RTX 5090 D7 32GB ICHILL X3
100270736,INNO3D 지포스 RTX 5060 OC V2 D7 8GB TWIN X2
100273427,MANLI 지포스 RTX 5080 Polar Fox OC V2 D7 16GB 대원씨티에스
100325213,COLORFUL 지포스 RTX 5060 GAMING DUO D7 8GB 피씨디렉트
100618931,갤럭시 GALAX 지포스 RTX 5060 BLACK D7 8GB LP
100698251,ASUS PRIME 라데온 RX 9070 EVO OC D6 16GB 대원씨티에스
100698752,ASUS ProArt 지포스 RTX 5080 D7 16GB 대원씨티에스
101015066,NVIDIA RTX PRO 4000 Blackwell D7 24GB (병행수입)
101077676,AFOX 지포스 GTX1050 Ti H7 D5 4GB 대원씨티에스
101185187,NVIDIA RTX PRO 5000 Blackwell D7 48GB 서린
101185244,NVIDIA RTX PRO 5000 Blackwell D7 48GB 서린 (벌크)
101191844,SAPPHIRE 라데온 AI PRO R9700 D6 32GB
101546711,NVIDIA RTX PRO 2000 Blackwell D7 16GB 서린
101546729,NVIDIA RTX PRO 2000 Blackwell D7 16GB 서린 (벌크)
101546732,NVIDIA RTX PRO 4000 Blackwell D7 24GB 서린
101546735,NVIDIA RTX PRO 4000 Blackwell D7 24GB 서린 (벌크)
101546738,NVIDIA RTX PRO 4500 Blackwell D7 32GB 서린
101546882,NVIDIA RTX PRO 4500 Blackwell D7 32GB 서린 (벌크)
101725700,COLORFUL 지포스 RTX 5060 Ti GAMING DUO D7 8GB 피씨디렉트
101725832,COLORFUL 지포스 RTX 5060 Ti GAMING DUO D7 16GB 피씨디렉트
101725835,COLORFUL 지포스 RTX 5070 GAMING D7 12GB 피씨디렉트
101956631,MANLI 지포스 RTX 5060 Ti Nebula V2 D7 8GB 대원씨티에스
102004850,COLORFUL 지포스 RTX 3050 GAMING DUO V4 D6 6GB 피씨디렉트
102004856,ASUS TURBO 라데온 AI PRO R9700 D6 32GB 대원씨티에스
103187984,ASUS ProArt 지포스 RTX 5080 OC D7 16GB 인텍앤컴퍼니
103335935,NVIDIA RTX PRO 4000 Blackwell SFF 에디션 D7 24GB
103481879,GIGABYTE 지포스 RTX 5060 Ti EAGLE MAX OC D7 8GB 제이씨현
103752587,NVIDIA RTX PRO 4000 Blackwell SFF 에디션 D7 24GB 서린
103808108,NVIDIA RTX PRO 5000 Blackwell D7 72GB
103880240,COLORFUL iGame 지포스 RTX 3050 ULTRA DUO OC V2 White D6 8GB 피씨디렉트
10427364,ARKTEK 지포스 GTX 1660 SUPER D6 6GB
104359454,갤럭시 GALAX 지포스 RTX 5050 BLACK OC V2 D6 8GB DUAL HDMI
104614712,MANLI 지포스 RTX 5060 Ti Nebula V2 D7 8GB 인텍앤컴퍼니
104615543,ASUS ProArt 지포스 RTX 5070 Ti OC D7 16GB 인텍앤컴퍼니
104628866,ASUS DUAL 지포스 RTX 5060 EVO OC D7 8GB 인텍앤컴퍼니
104752559,AFOX 라데온 RX 580 2048SP H3 D5 8GB 대원씨티에스
104966396,FORSA 지포스 RTX 3050 6GB White Cube
104966591,COLORFUL 지포스 RTX 5050 GAMING DUO D6 8GB 피씨디렉트
104989451,ASUS DUAL 지포스 RTX 5060 EVO OC D7 8GB 대원씨티에스
105814622,NVIDIA RTX PRO 2000 Blackwell D7 16GB (병행수입)
105817778,PNY 지포스 RTX 5050 D6 8GB Dual Fan STCOM
105968504,GAINWARD 지포스 RTX 5070 파이썬 III OC D7 12GB
106694891,SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB 붉은사막 에디션
106710902,PALIT 지포스 RTX 5070 Ti GAMINGPRO-S OC D7 16GB 이엠텍
106711547,COLORFUL iGame 지포스 RTX 5060 Ti ULTRA DUO OC White D7 8GB 도우정보
106711598,COLORFUL iGame 지포스 RTX 5070 Ti ULTRA OC White D7 16GB 도우정보
106711625,COLORFUL iGame 지포스 RTX 5070 ULTRA OC White D7 12GB 도우정보
106712012,COLORFUL iGame 지포스 RTX 5080 ULTRA OC White D7 16GB 도우정보
106712042,COLORFUL 지포스 RTX 3050 GAMING DUO V4 D6 6GB 도우정보
106712105,COLORFUL 지포스 RTX 5070 GAMING D7 12GB 도우정보
106712144,COLORFUL 지포스 RTX 5060 GAMING DUO D7 8GB 도우정보
106712198,COLORFUL 지포스 RTX 5060 Ti BATTLE AX DUO D7 16GB 도우정보
106712255,COLORFUL 지포스 RTX 5070 Ti BATTLE AX D7 16GB 도우정보
106736336,COLORFUL 지포스 RTX 5060 Ti GAMING DUO D7 8GB 도우정보
106754483,갤럭시 GALAX 지포스 RTX 5060 Ti BLACK OC V2 D7 8GB
106754843,갤럭시 GALAZ 지포스 RTX 5060 Ti BLACK OC V2 D7 8GB
106767512,PowerColor 라데온 RX 9060 Reaper D6 8GB 대원씨티에스
106767521,GIGABYTE 지포스 RTX 5070 Ti WINDFORCE OC V2 D7 16GB 피씨디렉트
106780118,GAINWARD 지포스 RTX 5070 Ti 피닉스-S GS OC D7 16GB
108176363,GIGABYTE 지포스 RTX 5070 Ti WINDFORCE OC V2 D7 16GB 제이씨현
108418610,NVIDIA RTX PRO 5000 Blackwell D7 72GB (벌크)
108418646,NVIDIA RTX PRO 6000 Blackwell 워크스테이션 에디션 D7 96GB (벌크)
108418685,NVIDIA RTX PRO 6000 Blackwell MAX-Q 워크스테이션 에디션 D7 96GB (벌크)
108418766,COLORFUL 지포스 RTX 5060 Ti GAMING DUO D7 16GB 도우정보
108418784,COLORFUL iGame 지포스 RTX 5050 ULTRA DUO OC White D6 8GB 도우정보
108418823,COLORFUL 지포스 RTX 5050 GAMING DUO D6 8GB 도우정보
108418880,NVIDIA RTX PRO Sync
108693833,갤럭시 GALAX 지포스 RTX 5060 Ti BLACK OC V2 D7 16GB
112881201,액슬 엑슬 지포스 RTX 3070 Ti D6X 8GB 에즈윈
11602526,TAGER 지포스 G210 D3 512MB LP
11602802,TAGER 지포스 GT1030 D5 2GB
11602895,TAGER 지포스 GTX1050 Ti D5 4GB
11639375,NVIDIA 쿼드로 RTX NV링크 브릿지 2-Slot
11639453,NVIDIA 쿼드로 RTX NV링크 HB 브릿지 2-Slot
11914264,갤럭시 BOY 지포스 GT1030 EXOC WHITE D5 2GB LP
11975078,지포스 GTX 1650 D5 4GB (중고)
11975147,지포스 GTX 1650 D6 4GB (중고)
11975627,지포스 GTX 1650 SUPER D6 4GB (중고)
11976056,지포스 GTX 1660 D5 6GB (중고)
11976995,지포스 GTX 1660 SUPER D6 6GB (중고)
11977706,지포스 GTX 1660 Ti D6 6GB (중고)
11978288,지포스 RTX 2060 D6 6GB (중고)
11978807,지포스 RTX 2060 SUPER D6 8GB (중고)
11979008,지포스 RTX 2070 D6 8GB (중고)
11979092,지포스 RTX 2070 SUPER D6 8GB (중고)
11979227,지포스 RTX 2080 D6 8GB (중고)
11979344,지포스 RTX 2080 SUPER D6 8GB (중고)
11979449,지포스 RTX 2080 Ti D6 11GB (중고)
12204407,ASUS ROG STRIX 지포스 RTX 3080 O10G GAMING OC D6X 10GB
122621334,NEXIUM 지포스 GTX 1660 SUPER NEXIUM II D6 6GB DUAL
