product_code,product_name
100326998,"Western Digital WD Blue 5400/64M (1TB, WD10EARZ)"
10059927,"Western Digital Ultrastar DC HC530 SAS/7200/512M (14TB, WUH721414AL5204)"
100618535,"Western Digital WD BLACK 7200/256M/해외구매 (6TB, WD6004FZBX)"
102005171,"Western Digital Ultrastar DC HC580 SAS/7200/512M (22TB, WUH722422AL5204)"
102005369,"Western Digital WD Ultrastar DC HC555 SAS/7200/512M (14TB, WUH722014CL5204)"
102550253,"Western Digital WD RED Plus 5400/128M (4TB, WD40EFZZ)"
10339344,"Western Digital Ultrastar DC HC330 7200/256M (10TB, WUS721010ALE6L4)"
103808015,"Western Digital WD Purple 5640/256M/해외구매 (8TB, WD85PURZ)"
103811198,"Seagate IronWolf Pro 7200/512M (32TB, ST32000NT000)"
103811207,"Seagate SkyHawk AI 7200/512M (32TB, ST32000VE000)"
103811504,"Seagate Exos 7200/512M (32TB, ST32000NM004K)"
104224631,"Western Digital WD Purple 5400/128M (4TB, WD44PURZ)"
104374406,"Western Digital WD Blue 5400/128M (4TB, WD40EZZX)"
10445247,Western Digital Ultrastar DC HC330 박스 패키지 7200/256M WUS721010ALE6L4 (10TB)
10445292,Western Digital Ultrastar DC HC330 박스 패키지 7200/256M WUS721010ALE6L4 (2x10TB)
10445298,Western Digital Ultrastar DC HC330 박스 패키지 7200/256M WUS721010ALE6L4 (4x10TB)
104939345,Seagate IronWolf Pro 7200/512M 패키지 ST32000NT000 (2x32TB)
104939354,Seagate IronWolf Pro 7200/512M 패키지 ST32000NT000 (4x32TB)
104966987,Seagate SkyHawk AI 7200/512M 패키지 ST32000VE000 (2x32TB)
104966996,Seagate SkyHawk AI 7200/512M 패키지 ST32000VE000 (4x32TB)
10616712,Western Digital Ultrastar DC HC510 박스 패키지 7200/256M HUH721008ALE600 (8TB)
106735586,"Western Digital WD Purple 5400/128M/해외구매 (4TB, WD44PURZ)"
106763552,"Western Digital WD RED Plus 5400/128M/해외구매 (4TB, WD40EFZZ)"
106785635,Seagate IronWolf Pro 패키지 7200/256M ST8000NE001 (2x8TB)
107769839,"Western Digital WD RED Pro 7200/512M (24TB, WD241KFGX)"
10780305,"Western Digital WD RED 5400/256M (4TB, WD40EFAX)"
108388523,"Western Digital WD Purple 5400/128M (3TB, WD34PURZ)"
111984839,"Western Digital WD Caviar Blue 7200/16M/중고 (500GB, WD5000AAKX)"
11212449,"Western Digital WD Purple 7200/256M (10TB, WD101PURZ)"
11236512,"Western Digital WD Purple 7200/256M (10TB, WD102PURZ)"
11243493,Western Digital WD Purple 패키지 5400/64M WD10PURZ (4x1TB)
11243559,Western Digital WD Purple 패키지 5400/64M WD20PURZ (4x2TB)
11243607,Western Digital WD Purple 패키지 5400/64M WD30PURZ (4x3TB)
11243718,Western Digital WD Purple 패키지 5400/64M WD40PURZ (4x4TB)
11243799,Western Digital WD Purple 패키지 5400/64M WD60PURZ (4x6TB)
11243877,Western Digital WD Purple 패키지 7200/256M WD102PURZ (4x10TB)
11244042,Western Digital WD Purple 패키지 7200/256M WD121PURZ (4x12TB)
11286315,Western Digital WD Purple 패키지 5400/64M WD10PURZ (2x1TB)
11286369,Western Digital WD Purple 패키지 5400/64M WD20PURZ (2x2TB)
11286378,Western Digital WD Purple 패키지 5400/64M WD30PURZ (2x3TB)
11286420,Western Digital WD Purple 패키지 5400/64M WD40PURZ (2x4TB)
11286435,Western Digital WD Purple 패키지 5400/64M WD60PURZ (2x6TB)
11286450,Western Digital WD Purple 패키지 7200/256M WD102PURZ (2x10TB)
11286462,Western Digital WD Purple 패키지 7200/256M WD121PURZ (2x12TB)
11290323,도시바 N300 패키지 7200/256M HDWG11A (2x10TB)
11290533,도시바 N300 패키지 7200/256M HDWG21C (2x12TB)
11290551,도시바 N300 패키지 7200/256M HDWG21E (2x14TB)
11291313,도시바 N300 패키지 7200/128M HDWQ140 (4x4TB)
11291349,도시바 N300 패키지 7200/256M HDWG180 (4x8TB)
11291367,도시바 N300 패키지 7200/256M HDWG11A (4x10TB)
11291385,도시바 N300 패키지 7200/256M HDWG21C (4x12TB)
11291397,도시바 N300 패키지 7200/256M HDWG21E (4x14TB)
11397288,"Seagate IronWolf 5400/256M (6TB, ST6000VN001)"
11452572,"Seagate Exos X16 SAS/7200/256M (14TB, ST14000NM002G)"
11776489,"Seagate Exos 7E8 7200/256M (4TB, ST4000NM002A)"
11776690,"Seagate Exos 7E8 7200/256M (6TB, ST6000NM021A)"
11776717,"Seagate Exos 7E8 7200/256M (8TB, ST8000NM000A)"
11777341,"Seagate Exos X16 7200/256M (10TB, ST10000NM001G)"
11777467,"Seagate Exos X16 7200/256M (12TB, ST12000NM001G)"
11777671,"Seagate Exos 7E8 SAS/7200/256M (4TB, ST4000NM005A)"
11777884,"Seagate Exos 7E8 SAS/7200/256M (6TB, ST6000NM029A)"
11777944,"Seagate Exos 7E8 SAS/7200/256M (8TB, ST8000NM001A)"
11778007,"Seagate Exos 7E8 SAS/7200/256M (2TB, ST2000NM004A)"
11778091,"Seagate Exos X16 SAS/7200/256M (10TB, ST10000NM002G)"
11778139,"Seagate Exos X16 SAS/7200/256M (12TB, ST12000NM002G)"
12008960,"도시바 P300 5400/128M (4TB, HDWD240)"
12008966,"도시바 P300 5400/128M (6TB, HDWD260)"
12068387,"Western Digital Ultrastar DC HC550 7200/512M (16TB, WUH721816ALE6L4)"
12068405,"Western Digital Ultrastar DC HC550 7200/512M (18TB, WUH721818ALE6L4)"
12068483,"Western Digital Ultrastar DC HC550 SAS/7200/512M (16TB, WUH721816AL5204)"
12068492,"Western Digital Ultrastar DC HC550 SAS/7200/512M (18TB, WUH721818AL5204)"
12068573,Western Digital Ultrastar DC HC550 박스 패키지 7200/512M WUH721816ALE6L4 (16TB)
12068615,Western Digital Ultrastar DC HC550 박스 패키지 7200/512M WUH721818ALE6L4 (18TB)
12090554,Western Digital Ultrastar DC HC550 박스 패키지 7200/512M WUH721816ALE6L4 (2x16TB)
12090569,Western Digital Ultrastar DC HC550 박스 패키지 7200/512M WUH721816ALE6L4 (4x16TB)
12090584,Western Digital Ultrastar DC HC550 박스 패키지 7200/512M WUH721818ALE6L4 (2x18TB)
12090602,Western Digital Ultrastar DC HC550 박스 패키지 7200/512M WUH721818ALE6L4 (4x18TB)
122657735,"Western Digital WD Ultrastar DC HC555 SAS/7200/512M (12TB, WUH722012CL5204)"
122658228,"Western Digital WD Ultrastar DC HC555 SAS/7200/512M (20TB, WUH722020CL5204)"
122658235,"Western Digital Ultrastar DC HC590 SAS/7200/512M (24TB, WUH722624AL5204)"
122708722,"Seagate BarraCuda 5400/256M/중고 (4TB, ST4000DM004)"
122708723,"Seagate IronWolf 5900/64M/중고 (1TB, ST1000VN002)"
122708724,"Western Digital WD Blue 7200/256M/중고 (2TB, WD20EZBX)"
122708725,"Western Digital WD Blue 7200/512M/중고 (12TB, WD120EAGZ)"
122708838,"Seagate IronWolf Pro 7200/256M/중고 (2TB, ST2000NT001)"
122708845,"Seagate Exos 7E10 SAS/7200/256M/중고 (6TB, ST6000NM020B)"
122708849,"Seagate Exos 7E2000 SAS/7200/128M/중고 (1TB, ST1000NX0333)"
122708854,"Synology Plus Series 5400/256M/중고 (6TB, HAT3300-6T)"
122708861,"Synology Plus Series 5400/256M/중고 (4TB, HAT3300-4T)"
122708905,"Synology Plus Series 7200/512M/중고 (16TB, HAT3310-16T)"
122708926,"Western Digital WD RED Plus 5400/128M/중고 (4TB, WD40EFZX)"
122708946,"Seagate Exos X16 SAS/7200/256M/중고 (12TB, ST12000NM002G)"
122708956,"Western Digital Ultrastar DC HC530 7200/512M/중고 (14TB, WUH721414ALE6L4)"
122708971,"Seagate IronWolf Pro 7200/256M/중고 (16TB, ST16000NE000)"
122708975,"Seagate Exos X18 7200/256M/중고 (16TB, ST16000NM000J)"
122708980,"Seagate Exos X18 7200/256M/중고 (18TB, ST18000NM000J)"
122713909,"Western Digital WD RED Plus 5640/128M/중고 (6TB, WD60EFZX)"
122713922,"Seagate BarraCuda 7200/512M/중고 (24TB, ST24000DM001)"
122713938,"Synology Plus Series 7200/256M/중고 (8TB, HAT3310-8T)"
122713975,"Western Digital WD RED Plus 7200/256M/중고 (12TB, WD120EFBX)"
122713979,"Western Digital WD RED Pro 7200/512M/중고 (16TB, WD161KFGX)"
122713983,"Seagate Exos 7E10 SAS/7200/256M/중고 (10TB, ST10000NM018B)"
122723899,"도시바 MG08ACA Enterprise 7200/256M/중고 (14TB, MG08ACA14T)"
122724372,"Seagate IronWolf Pro 7200/512M/해외구매 (32TB, ST32000NT000)"
122725610,"Seagate BarraCuda 5400/128M/노트북용 (5TB, ST5000LM000)"
12639086,"Seagate SkyHawk AI 7200/256M (18TB, ST18000VE002)"
12700412,"Seagate Exos 7E2000 SAS/7200/128M (2TB, ST2000NX0273)"
12700472,"Seagate Exos 7E2000 7200/128M (2TB, ST2000NX0253)"
12719456,"Seagate Exos X18 7200/256M (18TB, ST18000NM000J)"
12719516,"Seagate Exos X18 SAS/7200/256M (18TB, ST18000NM004J)"
12834413,"Western Digital WD MOBILE BLACK 7200/64M/노트북용 (500GB, WD5000LPSX)"
12834416,"Western Digital WD MOBILE BLACK 7200/64M/노트북용 (1TB, WD10SPSX)"
13196594,"Seagate IronWolf 7200/256M/해외구매 (16TB, ST16000VN001)"
13199918,"Seagate IronWolf 7200/256M/해외구매 (14TB, ST14000VN0008)"
13204103,"Western Digital WD Purple 5400/128M 해외구매 (8TB, WD80PURZ)"
13204517,"Western Digital WD Purple 5400/256M (8TB, WD81PURZ)"
13205063,"Western Digital WD Purple 7200/256M/해외구매 (10TB, WD102PURZ)"
13211909,"Seagate SkyHawk AI 7200/256M/해외구매 (10TB, ST10000VE0008)"
13211957,"Seagate SkyHawk AI 7200/256M/해외구매 (12TB, ST12000VE0008)"
13211987,"Seagate SkyHawk AI 7200/256M/해외구매 (18TB, ST18000VE002)"
13212209,"Western Digital Ultrastar DC HC320 7200/256M/해외구매 (8TB, HUS728T8TALE6L4)"
13212737,"Seagate Exos X12 7200/256M (12TB, ST12000NM0008)"
13220795,"Seagate IronWolf Pro 7200/256M/해외구매 (12TB, ST12000NE0008)"
13220849,"Seagate IronWolf Pro 7200/256M/해외구매 (10TB, ST10000NE0008)"
13220960,"Seagate IronWolf Pro 7200/256M/해외구매 (8TB, ST8000NE001)"
13222157,"Western Digital Ultrastar DC HC330 7200/256M/해외구매 (10TB, WUS721010ALE6L4)"
13222718,"Seagate IronWolf 7200/256M/해외구매 (8TB, ST8000VN004)"
13223291,"Seagate IronWolf Pro 7200/256M/해외구매 (18TB, ST18000NE000)"
13224968,"Seagate SkyHawk AI 7200/256M/해외구매 (14TB, ST14000VE0008)"
13226762,"Seagate Exos X16 7200/256M/해외구매 (16TB, ST16000NM001G)"
13226789,"Seagate Exos X16 7200/256M/해외구매 (14TB, ST14000NM001G)"
13226837,"Seagate Exos X16 7200/256M/해외구매 (10TB, ST10000NM001G)"
13226873,"Seagate IronWolf 5400/256M/해외구매 (6TB, ST6000VN001)"
13226939,"Western Digital Ultrastar DC HC550 SAS/7200/512M/해외구매 (18TB, WUH721818AL5204)"
13227035,"Western Digital Ultrastar DC HC320 SAS/7200/256M/해외구매 (8TB, HUS728T8TAL5204)"
13227497,"Western Digital Ultrastar DC HC520 7200/256M/해외구매 (12TB, HUH721212ALE600)"
13228031,"Seagate Exos 10E2400 SAS/10K/256M/해외구매 (1.8TB, ST1800MM0129)"
13228622,"Seagate Exos X16 7200/256M/해외구매 (12TB, ST12000NM001G)"
13228649,"Seagate Exos X16 SAS/7200/256M/해외구매 (12TB, ST12000NM002G)"
13228889,"Seagate Exos X16 SAS/7200/256M/해외구매 (16TB, ST16000NM002G)"
13229438,"Seagate IronWolf Pro 7200/256M/해외구매 (4TB, ST4000NE001)"
13229828,"Seagate Exos 7E2000 SAS/7200/128M (1TB, ST1000NX0333)"
13229861,"Seagate Exos 7E2000 7200/128M (1TB, ST1000NX0313)"
13230674,"Seagate IronWolf 7200/256M/해외구매 (10TB, ST10000VN0008)"
13230890,"Western Digital WD RED Pro 7200/256M (10TB, WD102KFBX)"
13233350,HP Proliant SAS/10000/해외구매 (300GB 653955-001)
13426676,"Western Digital WD RED Plus 5400/128M/해외구매 (4TB, WD40EFZX)"
13427174,"Western Digital WD GOLD 7200/128M 해외구매 (1TB, WD1005FBYZ)"
