product_code,product_name
100192175,MSI PRO A620AM-B EVO
100192475,GIGABYTE B850 EAGLE ICE 피씨디렉트
100383200,ASRock B850 Challenger WiFi 7 White 에즈윈
100691990,ASUS PRIME H810M-E 코잇
100698416,ASUS PRIME B860M-A WIFI-CSM 코잇
101069660,ASRock H610M-X D5 Gen5 디앤디컴
101069831,ASRock H610M-HDV/M.2 D5 Gen5 디앤디컴
101073890,ADVANTECH ASMB-816-00A1
101074490,ASRock H610M-X D5 Gen5 디앤디컴 (벌크)
101074493,ASRock H610M-HDV/M.2 D5 Gen5 디앤디컴 (벌크)
101184890,ASUS PRIME B850M-A-CSM 인텍앤컴퍼니
101184935,ASUS TUF Gaming B850M-PLUS WIFI7 W 인텍앤컴퍼니
101956625,액슬 MBAIH310 R2 에즈윈
102004853,ASUS PRIME B650EM-A 인텍앤컴퍼니
102004859,MAXSUN 챌린저 H810M 2.5G 디앤디컴
102004862,MAXSUN 챌린저 H810ITX WIFI 디앤디컴
102412694,ASRock B860M-X Gen5 디앤디컴
102412697,ASRock B860M Pro-A 디앤디컴
102621374,ASUS TUF Gaming B860M-PLUS 코잇
103130498,MAXSUN 챌린저 H810M-F 디앤디컴
103182476,ASUS ROG STRIX B850-G GAMING WIFI 인텍앤컴퍼니
103183034,ASUS TUF Gaming X870E-PLUS WIFI7 인텍앤컴퍼니
103187819,ASRock H610TM-ITX 에즈윈 (벌크)
103187837,ASRock H610TM-ITX 에즈윈 (120W 어댑터 포함)
103187846,ASRock H610TM-ITX 에즈윈 (180W 어댑터 포함)
103188215,ASUS TUF Gaming B850M-PLUS II 인텍앤컴퍼니
103188218,ASUS B850M MAX GAMING WIFI 인텍앤컴퍼니
103414754,ASUS Pro H810T-CSM (어댑터 미포함)
103414778,ASUS Pro H810T-CSM (120W 어댑터 포함)
103414784,ASUS Pro H810T-CSM (180W 어댑터 포함)
103415738,ASRock H610M-X D5 Gen5 에즈윈
103415765,ASRock B860M-X Gen5 에즈윈 (벌크)
103415894,ADVANTECH ASMB-818I-00A1
103452395,MAXSUN e스포츠 B850M WIFI ICE 디앤디컴
103694657,BIOSTAR H610MT-E D5 제이씨현
