product_code,product_name
100192370,킹스톤 FURY DDR5-5600 CL36 Beast 블랙 코잇 (32GB)
100192376,킹스톤 FURY DDR5-5600 CL36 Beast 화이트 코잇 (32GB)
10019547,G.SKILL DDR4-3200 CL16 TRIDENT Z RGB 패키지 (32GB(16Gx2))
100273145,마이크론 Crucial DDR4-3200 CL22 PRO 패키지 대원씨티에스 (32GB(16Gx2))
100273337,마이크론 Crucial DDR5-5600 CL46 PRO 대원씨티에스 (64GB)
100273607,마이크론 Crucial DDR5-6400 CL32 PRO Overclocking 패키지 대원씨티에스 (32GB(16Gx2))
100273628,마이크론 Crucial DDR5-6400 CL32 PRO Overclocking White 패키지 대원씨티에스 (32GB(16Gx2))
100387547,ADATA DDR4-3200 CL22 파인인포 (32GB)
100447838,Ramaxel 노트북 DDR5-4800 중고 (12GB)
100619435,마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스 (128GB(64Gx2))
100691795,HIKSEMI DDR5-6000 CL38 FUTURE RGB BLACK 패키지 (32GB(16Gx2))
100691819,HIKSEMI DDR5-6000 CL38 FUTURE RGB WHITE 패키지 (32GB(16Gx2))
100692737,ESSENCORE KLEVV DDR5-6000 CL28 URBANE V RGB 화이트 패키지 서린 (32GB(16Gx2))
100692755,ESSENCORE KLEVV DDR5-6000 CL28 URBANE V RGB 블랙 패키지 서린 (32GB(16Gx2))
100692833,ESSENCORE KLEVV DDR5-6000 CL30 URBANE V RGB 블랙 패키지 서린 (32GB(16Gx2))
100692866,CORSAIR DDR5-6400 CL32 VENGEANCE BLACK 패키지 (64GB(32Gx2))
100692944,CORSAIR DDR5-6400 CL32 VENGEANCE RGB WHITE 패키지 (64GB(32Gx2))
100693760,CORSAIR DDR5-6000 CL30 VENGEANCE 패키지 해외구매 (64GB(32Gx2))
100695821,ADATA DDR5-6000 CL36 LANCER BLADE RGB 블랙 패키지 파인인포 (32GB(16Gx2))
100695824,ADATA DDR5-6000 CL36 LANCER BLADE RGB 화이트 패키지 파인인포 (32GB(16Gx2))
100700609,OLOy DDR5-5200 CL36 BLADE RGB BLACK 패키지 올로코리아 (32GB(16Gx2))
100700621,OLOy DDR5-5600 CL40 BLADE RGB BLACK 패키지 올로코리아 (32GB(16Gx2))
100842740,ADATA DDR5-6000 CL36 LANCER BLADE 블랙 파인인포 (24GB)
100842782,ADATA DDR5-6000 CL36 LANCER BLADE 화이트 파인인포 (24GB)
101078510,AGI DDR5-6000 CL30 TURBOJET UD858 블랙 패키지 서린 (32GB(16Gx2))
101078582,AGI DDR5-6000 CL30 TURBOJET UD858 RGB 블랙 패키지 서린 (32GB(16Gx2))
101078618,AGI DDR5-6000 CL30 TURBOJET UD858 RGB 화이트 패키지 서린 (32GB(16Gx2))
101079236,BIWIN DDR5-4800 CL40 (32GB)
101079248,BIWIN DDR5-4800 CL40 (16GB)
101185049,AGI DDR5-5600 CL46 UD238 HEATSINK 서린 (32GB)
101185058,AGI DDR5-5600 CL46 UD238 HEATSINK 서린 (16GB)
101186585,에이서 DDR5-4800 CL40 UD200 (16GB)
101628665,AGI DDR4-3200 CL22 UD138 서린 (8GB)
101628668,AGI DDR4-3200 CL22 UD138 서린 (16GB)
101628701,킹스톤 DDR5-5600 CL46 중고 (8GB)
101628713,마이크론 Crucial DDR4-3200 중고 (8GB)
101628743,AGI DDR4-3600 CL18 TURBOJET UD848 RGB BLACK 서린 (32GB(16Gx2))
101665346,Apacer 노트북 DDR5-5600 CL46 (16GB)
101667029,Apacer 노트북 DDR5-5600 CL46 (32GB)
