product_code,product_name
100189580,Western Digital WD GREEN SSD 중고 (500GB)
100189586,키오시아 EXCERIA 히트싱크 M.2 NVMe 중고 (2TB)
100189904,Western Digital WD BLACK SN8100 M.2 NVMe 해외구매 (8TB)
100189970,Western Digital WD BLACK SN8100 히트싱크 M.2 NVMe 해외구매 (8TB)
100192538,라이트컴 COMS IH083 M.2 to PCIe 3.0 4x 변환 어댑터
100192646,라이트컴 COMS IH195 M.2 to PCIe 4x 컨버터
100269620,마이크론 Crucial 2500 M.2 2230 NVMe 해외구매 (1TB)
100269854,삼성전자 870 EVO 중고 (2TB)
100270535,BIWIN NV7200 M.2 NVMe (1TB)
100270616,BIWIN NV7200 M.2 NVMe (2TB)
100270739,BIWIN Black Opal NV3500 M.2 NVMe (512GB)
100270760,BIWIN Black Opal NV3500 M.2 NVMe (1TB)
100270775,BIWIN Black Opal NV3500 M.2 NVMe (2TB)
100325363,비즈텍 TREAVE VN200Q M.2 NVMe (512GB)
100325369,비즈텍 TREAVE VN200Q M.2 NVMe (256GB)
100326203,SK하이닉스 Gold P31 M.2 NVMe 중고 (500GB)
100326254,마이크론 Crucial T500 M.2 NVMe 중고 (2TB)
100326278,마이크론 Crucial P510 M.2 NVMe 중고 (2TB)
100326611,라이트컴 COMS IH404 U.2 to PCIe 변환 어댑터
100328783,Apacer AS2280Q4X M.2 NVMe (512GB)
100328819,Apacer AS2280Q4X M.2 NVMe (1TB)
100328870,Apacer AS2280Q4X M.2 NVMe (2TB)
100329014,Apacer AS2280P4X M.2 NVMe (512GB)
100329047,Apacer AS2280P4X M.2 NVMe (1TB)
100329191,Apacer AST280X M.2 SATA (256GB)
100329206,Apacer AST280X M.2 SATA (512GB)
10033824,타무즈 GKX570 mSATA 벌크 (16GB)
10033857,타무즈 GKX570 mSATA 벌크 (32GB)
10033869,타무즈 GKX570 mSATA 벌크 (64GB)
10033884,타무즈 GKX570 mSATA 벌크 (256GB)
10033965,타무즈 GKX370 mSATA (64GB)
10034022,타무즈 GKX370 mSATA (128GB)
10034037,타무즈 GKX370 mSATA (256GB)
10034049,타무즈 GKX370 mSATA (512GB)
100382744,Apacer AS350X (256GB)
100382771,Apacer AS350X (512GB)
100382792,Apacer AS350X (1TB)
100618058,Western Digital WD BLACK SN8100 M.2 NVMe (8TB)
100619522,SilverStone SST-ECM40
100619537,SilverStone SST-ECM40 해외구매
100623254,Fanxiang S690Q M.2 NVMe 병행수입 (1TB)
100691306,삼성전자 PM9A1 M.2 NVMe 중고 (512GB)
100691375,KingDian S390 중고 (128GB)
100697684,마이크론 Crucial MX500 중고 (250GB)
100702295,PNY CS3250 M.2 NVMe 해외구매 (4TB)
100722506,트랜센드 MTS420S M.2 2242 SATA 해외구매 (120GB)
100748465,에이서 프레데터 GM9 M.2 NVMe 해외구매 (2TB)
100749602,에이서 프레데터 GM9 M.2 NVMe 해외구매 (1TB)
100757531,Fanxiang S770 M.2 NVMe 해외구매 (1TB)
100844144,마이크론 Crucial 2500 M.2 NVMe 벌크 (512GB)
10085025,디오테라 ROIPLE DOVE SSD (128GB)
10085043,디오테라 ROIPLE DOVE SSD (256GB)
101016107,ADATA LEGEND 960 M.2 NVMe 파인인포 (2TB)
101016125,ADATA LEGEND 960 M.2 NVMe 파인인포 (1TB)
101075081,Western Digital WD Green SN350 M.2 NVMe 중고 (2TB)
101075294,ICY DOCK MB305M4P-B M.2 to PCIe 4.0 어댑터
101090885,TWSC CUSU CV7000 M.2 NVMe 해외구매 (1TB)
101186015,Western Digital WD Green SN3000 M.2 NVMe (1TB)
101186033,Western Digital WD Green SN3000 M.2 NVMe (2TB)
101190371,Fanxiang S102 Pro 병행수입 (2TB)
10120377,Western Digital WD Blue SN550 M.2 NVMe (250GB)
10120467,Western Digital WD Blue SN550 M.2 NVMe (1TB)
101543144,ICY DOCK MB204MP-1B M.2 to PCIe 4.0 어댑터
101545592,마이크론 3400 M.2 NVMe 해외구매 (512GB)
101545649,마이크론 3400 M.2 NVMe 해외구매 (1TB)
101545757,키오시아 EXCERIA BASIC M.2 NVMe (2TB)
101545817,키오시아 EXCERIA BASIC M.2 NVMe (1TB)
101625038,삼성전자 9100 PRO 히트싱크 M.2 NVMe 해외구매 (8TB)
101724911,AGI AI298 M.2 NVMe (512GB)
101724923,AGI AI298 M.2 NVMe (1TB)
101725148,AGI AI238 M.2 SATA (256GB)
101725166,AGI AI238 M.2 SATA (512GB)
102001181,삼성전자 980 PRO M.2 NVMe 중고 (2TB)
102005414,GIGABYTE Gen3 M.2 NVMe 제이씨현 (512GB)
102123836,마이크론 Crucial 2500 M.2 NVMe 벌크 (1TB)
102124430,Fanxiang S500 Pro M.2 NVMe (1TB)
102124439,Fanxiang S500 Pro M.2 NVMe (512GB)
102124442,Fanxiang S500 Pro M.2 NVMe (256GB)
102125162,Fanxiang S690 M.2 NVMe (512GB)
102125519,SK하이닉스 Platinum P41 M.2 NVMe 중고 (2TB)
102128060,아이티젠 M.2 NVMe PCI-E 1x 변환 컨버터
102128081,아이티젠 M.2 NVMe PCI-E 4x 변환 컨버터
102355247,아이티젠 M.2 NVMe PCI-E 4x 듀얼 변환 컨버터
102355313,삼성전자 870 EVO 중고 (4TB)
102411863,화웨이 eKitStor Xtreme 201 M.2 NVMe (1TB)
102411866,화웨이 eKitStor Xtreme 201 M.2 NVMe (2TB)
102552866,ADATA Ultimate SU650 파인인포 (1TB)
102552920,ADATA Ultimate SU650 파인인포 (512GB)
102552941,ADATA Ultimate SU650 파인인포 (256GB)
102552977,ADATA XPG SX8200 Pro M.2 NVMe 파인인포 (512GB)
102620810,라이트컴 COMS USB 3.0 to SATA+IDE 컨버터 (BF497)
102620828,삼성전자 PM981a M.2 NVMe 중고 (512GB)
102754202,SK하이닉스 Platinum P41 M.2 NVMe 중고 (1TB)
102754385,삼성전자 990 PRO M.2 NVMe 중고 (2TB)
102754388,삼성전자 990 PRO M.2 NVMe 중고 (1TB)
102754787,Fanxiang S660 M.2 NVMe 병행수입 (2TB)
102760391,삼성전자 PM9A1 M.2 NVMe 중고 (256GB)
102760397,삼성전자 970 EVO Plus M.2 NVMe 중고 (500GB)
102760400,삼성전자 970 EVO Plus M.2 NVMe 중고 (250GB)
102760403,삼성전자 970 EVO Plus M.2 NVMe 중고 (1TB)
102881504,삼성전자 860 EVO 중고 (2TB)
102881522,마이크론 Crucial P3 Plus M.2 NVMe 중고 (500GB)
103125200,M.2 SSD 고정용 나사 (24개입)
103125206,M.2 SSD 고정용 나사 (32개입)
103128785,GUDGA GXF M.2 NVMe (2TB)
103128794,GUDGA GXF M.2 NVMe (1TB)
103128803,GUDGA GXF M.2 NVMe (512GB)
103130108,파이슨 ESO512GHLCJ-EL1 M.2 NVMe 벌크 (512GB)
103130261,ESSENCORE KLEVV NEO N410+ (512GB)
103130264,ESSENCORE KLEVV NEO N410+ (256GB)
103177244,삼성전자 970 PRO M.2 NVMe 중고 (512GB)
103186514,Western Digital WD BLACK SN8100 히트싱크 M.2 NVMe 해외구매 (1TB)
103186541,Western Digital WD BLACK SN8100 히트싱크 M.2 NVMe 해외구매 (2TB)
103186568,Western Digital WD BLACK SN8100 히트싱크 M.2 NVMe 해외구매 (4TB)
103186610,삼성전자 PM981 M.2 NVMe 중고 (1TB)
103186652,ADATA XPG GAMMIX S70 M.2 NVMe 중고 (1TB)
103414364,삼성전자 850 PRO 중고 (1TB)
103414373,삼성전자 850 PRO 중고 (128GB)
103414391,삼성전자 850 PRO 중고 (256GB)
103416365,삼성전자 990 PRO 히트싱크 M.2 NVMe 중고 (4TB)
103449614,삼성전자 PM9E1 M.2 NVMe 벌크 (512GB)
103450037,삼성전자 PM9E1 M.2 NVMe 벌크 (1TB)
103453349,TeamGroup NV10000 M.2 NVMe 해외구매 (2TB)
103453352,TeamGroup NV10000 M.2 NVMe 해외구매 (1TB)
103453781,삼성전자 PM1735 PCIe 중고 (1.6TB)
103453784,삼성전자 PM1735 PCIe 중고 (3.2TB)
103453787,삼성전자 PM1735 PCIe 중고 (6.4TB)
103453793,삼성전자 850 EVO Series 중고 (2TB)
103481201,비즈텍 TREAVE VN200Q M.2 NVMe (1TB)
103481918,Sandisk Extreme Pro SSD 중고 (960GB)
103482125,라이트컴 COMS TB830 M.2 NVme to Mini PCIe 컨버터
103599887,삼성전자 860 PRO 중고 (256GB)
103599890,삼성전자 860 PRO 중고 (512GB)
103599896,삼성전자 860 PRO 중고 (1TB)
103600319,삼성전자 9100 PRO M.2 NVMe 병행수입 (1TB)
103691096,삼성전자 PM871 M.2 SATA 벌크 (512GB)
103691108,마이크론 Crucial MX500 중고 (500GB)
103692554,타무즈 M740Q M.2 NVMe 벌크 (1TB)
103692572,타무즈 M740Q M.2 NVMe 벌크 (512GB)
103692578,타무즈 M740Q M.2 NVMe 벌크 (256GB)
103694015,삼성전자 850 PRO 중고 (2TB)
103751138,킹스톤 NV3 M.2 NVMe 병행수입 (1TB)
103751306,Western Digital WD BLACK SN850X M.2 NVMe 병행수입 (1TB)
103810973,컴이지 KINGDOM New PM M.2 NVMe 벌크 (1TB)
103810994,컴이지 KINGDOM New PM M.2 NVMe 벌크 (512GB)
103810997,컴이지 KINGDOM New PM M.2 NVMe 벌크 (256GB)
104225012,키오시아 EXCERIA 중고 (480GB)
104225036,삼성전자 PM991 M.2 NVMe 중고 (128GB)
104228876,키오시아 EXCERIA PRO G2 M.2 NVMe (2TB)
104228879,키오시아 EXCERIA PRO G2 M.2 NVMe (1TB)
104228882,키오시아 EXCERIA PRO G2 M.2 NVMe (4TB)
104228885,키오시아 EXCERIA G3 M.2 NVMe (2TB)
104228888,키오시아 EXCERIA G3 M.2 NVMe (1TB)
104320652,인텔 DC P3600 PCIe 중고 (2TB)
104321216,컴이지 KINGDOM PM R40 M.2 NVMe 벌크 (500GB)
104325023,TeamGroup MP33 M.2 NVMe 서린 (1TB)
104325029,TeamGroup MP33 M.2 NVMe 서린 (512GB)
104614865,Seagate 바라쿠다 PCIe M.2 NVMe 병행수입 (500GB)
104615132,CORSAIR MP700 PRO XT M.2 NVMe (4TB)
