상품코드,모델명,가격,인치,해상도,주사율,패널
122628444,래안텍 PANTHEON QA2700S 화이트 Nano-IPS 120 Speed UP Type-C PD15 무결점,146300,27인치,QHD(2560 x 1440),100Hz,Nano-IPS
122628440,래안텍 PANTHEON QA2700S 화이트 Nano-IPS 120 Speed UP Type-C PD15,136800,27인치,QHD(2560 x 1440),100Hz,Nano-IPS
122627741,MSI MPG 321UP QD-OLED X24 4K 240,가격비교예정,32인치,4K UHD(3840 x 2160),240Hz,QD-OLED
122627665,MSI MPG 341CQR QD-OLED X36 UWQHD 360 GEN5,가격비교예정,34인치,Ultra WQHD(3440 x 1440),360Hz,QD-OLED
122624960,비트엠 Newsync P38GBK 나노 IPS 144 TYPE-C PD Ai HDR,가격비교예정,38인치,WQHD+(3840 x 1600),144Hz,Nano-IPS Black
122624324,이노스 24FM200 IPS 144 USB-C 게이밍 멀티스탠드,129000,24인치,FHD(1920 x 1080),144Hz,IPS
122624233,자비오씨엔씨 엑사비오 X3201F240,가격비교예정,32인치,FHD(1920 x 1080),240Hz,IPS
122624187,크래프티스 CR32Q165 IPS QHD 165 게이밍,224280,32인치,QHD(2560 x 1440),165Hz,IPS
122624116,크래프티스 CR32Q75 IPS QHD 75,222920,32인치,QHD(2560 x 1440),75Hz,IPS
122624094,자비오씨엔씨 엑사비오 XA271 무결점,100600,27인치,FHD(1920 x 1080),100Hz,IPS
122624087,자비오씨엔씨 엑사비오 XA271,100600,27인치,FHD(1920 x 1080),100Hz,IPS
122624079,자비오씨엔씨 엑사비오 XA270 무결점,100670,27인치,FHD(1920 x 1080),100Hz,IPS
122624057,자비오씨엔씨 엑사비오 XA270,100670,27인치,FHD(1920 x 1080),100Hz,IPS
122624028,자비오씨엔씨 엑사비오 XA241 무결점,76000,24인치,FHD(1920 x 1080),100Hz,VA
122623951,자비오씨엔씨 엑사비오 XA241,76000,24인치,FHD(1920 x 1080),100Hz,VA
